Locus	Namespace	GO-ID	GO-term	pubMedId	EvidenceCode
NCU00043.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	19141471	IMP: Inferred from Mutant Phenotype
NCU00043.7	biological_process	GO:0006306	DNA methylation	19141471	IMP: Inferred from Mutant Phenotype
NCU00043.7	biological_process	GO:0006470	protein dephosphorylation	19141471	IMP: Inferred from Mutant Phenotype
NCU00043.7	biological_process	GO:0030448	hyphal growth	19141471	IMP: Inferred from Mutant Phenotype
NCU00043.7	biological_process	GO:0042752	regulation of circadian rhythm	14871927	IMP: Inferred from Mutant Phenotype
NCU00043.7	biological_process	GO:0045143	homologous chromosome segregation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00043.7	biological_process	GO:0048315	conidium formation	19141471	IMP: Inferred from Mutant Phenotype
NCU00043.7	cellular_component	GO:0005634	nucleus	19020516	IDA: Inferred from Direct Assay
NCU00043.7	cellular_component	GO:0005737	cytoplasm	19020516	IDA: Inferred from Direct Assay
NCU00043.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU00043.7	cellular_component	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00043.7	molecular_function	GO:0004721	phosphoprotein phosphatase activity	14871927	IMP: Inferred from Mutant Phenotype
NCU00050.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU00076.7	biological_process	GO:0030437	ascospore formation	20551436	IMP: Inferred from Mutant Phenotype
NCU00076.7	biological_process	GO:0030582	fruiting body development	20592262	IMP: Inferred from Mutant Phenotype
NCU00076.7	biological_process	GO:0031054	pre-microRNA processing	22516970	IMP: Inferred from Mutant Phenotype
NCU00076.7	biological_process	GO:0033168	conversion of ds siRNA to ss siRNA involved in RNA interference	17311884	IMP: Inferred from Mutant Phenotype
NCU00076.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU00076.7	cellular_component	GO:0005641	nuclear envelope lumen	20592262	IEP: Inferred from Expression Pattern
NCU00076.7	cellular_component	GO:0048471	perinuclear region of cytoplasm	21664475	IDA: Inferred from Direct Assay
NCU00076.7	molecular_function	GO:0004527	exonuclease activity	17311884	IMP: Inferred from Mutant Phenotype
NCU00076.7	molecular_function	GO:0008408	3'-5' exonuclease activity	22516970	IDA: Inferred from Direct Assay
NCU00087.7	biological_process	GO:0006409	tRNA export from nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00087.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00087.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU00087.7	molecular_function	GO:0017057	6-phosphogluconolactonase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	biological_process	GO:0006417	regulation of translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	biological_process	GO:0006470	protein dephosphorylation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	biological_process	GO:0016576	histone dephosphorylation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	molecular_function	GO:0003869	4-nitrophenylphosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00088.7	molecular_function	GO:0004035	alkaline phosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00090.7	biological_process	GO:0010446	response to alkalinity	22952943	IMP: Inferred from Mutant Phenotype
NCU00090.7	biological_process	GO:0040009	regulation of growth rate	22952943	IMP: Inferred from Mutant Phenotype
NCU00097.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	16801547	IMP: Inferred from Mutant Phenotype
NCU00097.7	biological_process	GO:0009416	response to light stimulus	20675579	IEP: Inferred from Expression Pattern
NCU00097.7	biological_process	GO:0071998	ascospore release from ascus	16801547	IMP: Inferred from Mutant Phenotype
NCU00103.7	biological_process	GO:0006412	translation	16451194	IC: Inferred by Curator
NCU00103.7	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
NCU00103.7	cellular_component	GO:0005762	mitochondrial large ribosomal subunit	16451194	IPI: Inferred from Physical Interaction
NCU00103.7	molecular_function	GO:0003735	structural constituent of ribosome	16451194	IPI: Inferred from Physical Interaction
NCU00104.7	biological_process	GO:0006950	response to stress	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	biological_process	GO:0009408	response to heat	9806804	IEP: Inferred from Expression Pattern
NCU00104.7	biological_process	GO:0042026	protein refolding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	biological_process	GO:0051085	chaperone mediated protein folding requiring cofactor	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	cellular_component	GO:0005792	microsome	1472534	IDA: Inferred from Direct Assay
NCU00104.7	molecular_function	GO:0042623	ATPase activity, coupled	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	molecular_function	GO:0051082	unfolded protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00104.7	molecular_function	GO:0051087	chaperone binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00105.7	biological_process	GO:0006364	rRNA processing	None	ISS: Inferred from Sequence or Structural Similarity
NCU00105.7	biological_process	GO:0042273	ribosomal large subunit biogenesis	None	ISS: Inferred from Sequence or Structural Similarity
NCU00105.7	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00105.7	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU00106.7	biological_process	GO:0006561	proline biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00106.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00106.7	molecular_function	GO:0004349	glutamate 5-kinase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00111.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00114.7	cellular_component	GO:0005761	mitochondrial ribosome	21145408	IDA: Inferred from Direct Assay
NCU00116.7	biological_process	GO:0006109	regulation of carbohydrate metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	biological_process	GO:0006355	regulation of transcription, DNA-dependent	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	biological_process	GO:0033217	regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	cellular_component	GO:0016602	CCAAT-binding factor complex	9475726	IC: Inferred by Curator
NCU00116.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	molecular_function	GO:0003700	sequence-specific DNA binding transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	molecular_function	GO:0003704	specific RNA polymerase II transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	molecular_function	GO:0030528	transcription regulator activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00116.7	molecular_function	GO:0043565	sequence-specific DNA binding	9475726	IDA: Inferred from Direct Assay
NCU00122.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00122.7	cellular_component	GO:0005840	ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00122.7	molecular_function	GO:0004177	aminopeptidase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00130.7	biological_process	GO:0006115	ethanol biosynthetic process	20829451	IDA: Inferred from Direct Assay
NCU00132.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00133.7	biological_process	GO:0006261	DNA-dependent DNA replication	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	biological_process	GO:0006281	DNA repair	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	biological_process	GO:0006351	transcription, DNA-dependent	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	biological_process	GO:0007059	chromosome segregation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	biological_process	GO:0030702	chromatin silencing at centromere	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	cellular_component	GO:0035101	FACT complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00133.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00138.7	biological_process	GO:0030584	sporocarp development	15186425	IMP: Inferred from Mutant Phenotype
NCU00138.7	biological_process	GO:0043577	chemotropism	15186425	IMP: Inferred from Mutant Phenotype
NCU00145.7	biological_process	GO:0000070	mitotic sister chromatid segregation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	biological_process	GO:0030702	chromatin silencing at centromere	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	biological_process	GO:0031508	centromeric heterochromatin formation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	cellular_component	GO:0000779	condensed chromosome, centromeric region	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	cellular_component	GO:0000939	condensed chromosome inner kinetochore	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00145.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00150.7	biological_process	GO:0000105	histidine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00150.7	cellular_component	GO:0005622	intracellular	None	ISS: Inferred from Sequence or Structural Similarity
NCU00150.7	molecular_function	GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00153.7	biological_process	GO:0009847	spore germination	12556227	IMP: Inferred from Mutant Phenotype
NCU00153.7	cellular_component	GO:0005743	mitochondrial inner membrane	12556227	IDA: Inferred from Direct Assay
NCU00153.7	cellular_component	GO:0031966	mitochondrial membrane	21145408	IDA: Inferred from Direct Assay
NCU00153.7	molecular_function	GO:0003959	NADPH dehydrogenase activity	12556227	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0000338	protein deneddylation	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0040009	regulation of growth rate	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0042752	regulation of circadian rhythm	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0043153	entrainment of circadian clock by photoperiod	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0048315	conidium formation	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	biological_process	GO:0070787	conidiophore development	21151958	IMP: Inferred from Mutant Phenotype
NCU00157.7	cellular_component	GO:0008180	signalosome	21151958	TAS: Traceable Author Statement
NCU00160.7	biological_process	GO:0006116	NADH oxidation	15863099	IC: Inferred by Curator
NCU00160.7	cellular_component	GO:0005739	mitochondrion	15863099	IC: Inferred by Curator
NCU00160.7	cellular_component	GO:0005747	mitochondrial respiratory chain complex I	15863099	IC: Inferred by Curator
NCU00160.7	molecular_function	GO:0009055	electron carrier activity	15863099	IC: Inferred by Curator
NCU00177.7	biological_process	GO:0006144	purine base metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00177.7	biological_process	GO:0006164	purine nucleotide biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00177.7	biological_process	GO:0006189	'de novo' IMP biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00177.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00177.7	molecular_function	GO:0004637	phosphoribosylamine-glycine ligase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00177.7	molecular_function	GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00183.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU00188.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
NCU00188.7	biological_process	GO:0006970	response to osmotic stress	21965514	IMP: Inferred from Mutant Phenotype
NCU00188.7	biological_process	GO:0009651	response to salt stress	21965514	IMP: Inferred from Mutant Phenotype
NCU00188.7	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
NCU00188.7	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
NCU00188.7	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
NCU00194.7	biological_process	GO:0006527	arginine catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00194.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00194.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00194.7	molecular_function	GO:0004587	ornithine-oxo-acid transaminase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00198.7	biological_process	GO:0040009	regulation of growth rate	14668492	IMP: Inferred from Mutant Phenotype
NCU00198.7	biological_process	GO:0045040	protein import into mitochondrial outer membrane	14668492	IPI: Inferred from Physical Interaction
NCU00198.7	cellular_component	GO:0005758	mitochondrial intermembrane space	14668492	IDA: Inferred from Direct Assay
NCU00198.7	cellular_component	GO:0042719	mitochondrial intermembrane space protein transporter complex	14668492	IPI: Inferred from Physical Interaction
NCU00198.7	molecular_function	GO:0008565	protein transporter activity	14668492	IDA: Inferred from Direct Assay
NCU00200.7	biological_process	GO:0000162	tryptophan biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00200.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00200.7	cellular_component	GO:0005950	anthranilate synthase complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00200.7	molecular_function	GO:0004049	anthranilate synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00200.7	molecular_function	GO:0004425	indole-3-glycerol-phosphate synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	biological_process	GO:0007015	actin filament organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	biological_process	GO:0007017	microtubule-based process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	biological_process	GO:0009847	spore germination	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	biological_process	GO:0030036	actin cytoskeleton organization	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	biological_process	GO:0030100	regulation of endocytosis	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	biological_process	GO:0030448	hyphal growth	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	biological_process	GO:0034316	negative regulation of Arp2/3 complex-mediated actin nucleation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	biological_process	GO:0048315	conidium formation	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	biological_process	GO:0051666	actin cortical patch localization	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	biological_process	GO:0071555	cell wall organization	22693603	IMP: Inferred from Mutant Phenotype
NCU00202.7	cellular_component	GO:0005885	Arp2/3 protein complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	cellular_component	GO:0030479	actin cortical patch	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	cellular_component	GO:0030479	actin cortical patch	22693603	IDA: Inferred from Direct Assay
NCU00202.7	molecular_function	GO:0008017	microtubule binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	molecular_function	GO:0030674	protein binding, bridging	None	ISS: Inferred from Sequence or Structural Similarity
NCU00202.7	molecular_function	GO:0051015	actin filament binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00203.7	biological_process	GO:0006348	chromatin silencing at telomere	19014414	IMP: Inferred from Mutant Phenotype
NCU00203.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00203.7	biological_process	GO:0016575	histone deacetylation	19014414	IMP: Inferred from Mutant Phenotype
NCU00206.7	molecular_function	GO:0047735	cellobiose dehydrogenase (acceptor) activity	20709172	IDA: Inferred from Direct Assay
NCU00210.7	biological_process	GO:0000398	nuclear mRNA splicing, via spliceosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00210.7	cellular_component	GO:0000243	commitment complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00210.7	cellular_component	GO:0005846	nuclear cap binding complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00210.7	molecular_function	GO:0000339	RNA cap binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00211.7	biological_process	GO:0006412	translation	16451194	IC: Inferred by Curator
NCU00211.7	cellular_component	GO:0005762	mitochondrial large ribosomal subunit	16451194	IPI: Inferred from Physical Interaction
NCU00211.7	molecular_function	GO:0003735	structural constituent of ribosome	16451194	IPI: Inferred from Physical Interaction
NCU00212.7	biological_process	GO:0006333	chromatin assembly or disassembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU00212.7	cellular_component	GO:0000788	nuclear nucleosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00212.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00216.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU00216.7	cellular_component	GO:0005741	mitochondrial outer membrane	None	ISS: Inferred from Sequence or Structural Similarity
NCU00216.7	cellular_component	GO:0005792	microsome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00216.7	molecular_function	GO:0004128	cytochrome-b5 reductase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00218.7	biological_process	GO:0007021	tubulin complex assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU00218.7	molecular_function	GO:0005095	GTPase inhibitor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00236.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00243.7	biological_process	GO:0000902	cell morphogenesis	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0007018	microtubule-based movement	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0007088	regulation of mitosis	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0008104	protein localization	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0008608	attachment of spindle microtubules to kinetochore	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0046785	microtubule polymerization	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	biological_process	GO:0051225	spindle assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0000235	astral microtubule	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0005828	kinetochore microtubule	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0005881	cytoplasmic microtubule	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0015630	microtubule cytoskeleton	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0051233	spindle midzone	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	cellular_component	GO:0051285	cell cortex of cell tip	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	molecular_function	GO:0001671	ATPase activator activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00243.7	molecular_function	GO:0051010	microtubule plus-end binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00244.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00257.7	biological_process	GO:0007018	microtubule-based movement	11452013	IMP: Inferred from Mutant Phenotype
NCU00257.7	biological_process	GO:0007097	nuclear migration	9159520	IMP: Inferred from Mutant Phenotype
NCU00257.7	biological_process	GO:0030036	actin cytoskeleton organization	9159520	IMP: Inferred from Mutant Phenotype
NCU00257.7	biological_process	GO:0030448	hyphal growth	11452013	IMP: Inferred from Mutant Phenotype
NCU00257.7	biological_process	GO:0048315	conidium formation	9159520	IMP: Inferred from Mutant Phenotype
NCU00257.7	cellular_component	GO:0005869	dynactin complex	11452013	IPI: Inferred from Physical Interaction
NCU00257.7	molecular_function	GO:0003777	microtubule motor activity	11452013	IMP: Inferred from Mutant Phenotype
NCU00258.7	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00258.7	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU00258.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00258.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU00261.7	biological_process	GO:0006241	CTP biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00261.7	biological_process	GO:0008654	phospholipid biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00261.7	biological_process	GO:0019856	pyrimidine base biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00261.7	molecular_function	GO:0003883	CTP synthase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00263.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00269.7	biological_process	GO:0019953	sexual reproduction	16087750	IMP: Inferred from Mutant Phenotype
NCU00269.7	biological_process	GO:0019954	asexual reproduction	16087750	IMP: Inferred from Mutant Phenotype
NCU00269.7	biological_process	GO:0040009	regulation of growth rate	16087750	IMP: Inferred from Mutant Phenotype
NCU00269.7	cellular_component	GO:0005634	nucleus	16087750	IC: Inferred by Curator
NCU00269.7	molecular_function	GO:0046975	histone methyltransferase activity (H3-K36 specific)	16087750	IDA: Inferred from Direct Assay
NCU00274.7	biological_process	GO:0000077	DNA damage checkpoint	18790091	IMP: Inferred from Mutant Phenotype
NCU00274.7	biological_process	GO:0009411	response to UV	20553930	IMP: Inferred from Mutant Phenotype
NCU00274.7	biological_process	GO:0030448	hyphal growth	18790091	IMP: Inferred from Mutant Phenotype
NCU00276.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00281.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU00289.7	biological_process	GO:0070787	conidiophore development	16801547	IMP: Inferred from Mutant Phenotype
NCU00294.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU00294.7	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU00294.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU00299.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
