Locus	Symbol	FunCatId	FunCatName
NCU07574	None	16.01	protein binding
NCU07574	None	16.03.03	RNA binding
NCU07574	None	20.09.01	nuclear transport
NCU06038	mrp-59	12.01.01	ribosomal proteins
NCU03393	rap-1	12.01	ribosome biogenesis
NCU03827	mrp-9	12.01.01	ribosomal proteins
NCU03827	mrp-9	70.16	mitochondrion
NCU06685	None	10.03.01	mitotic cell cycle and cell cycle control
NCU06685	None	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU06685	None	18.02.01	enzymatic activity regulation / enzyme regulator
NCU06685	None	30.01	cellular signalling
NCU07765	None	01.20	secondary metabolism
NCU09513	None	16.19.05	GTP binding
NCU09387	fmf-1	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU01469	None	12.04.01	translation initiation
NCU07080	None	01.05.25	regulation of C-compound and carbohydrate metabolism
NCU07080	None	11.02.03.04.03	transcription repression
NCU07080	None	70.10	nucleus
NCU01549	None	20.09.07	vesicular transport (Golgi network, etc.)
NCU01549	None	20.09.14	cytoskeleton-dependent transport
NCU01549	None	70.08	Golgi
NCU00884	None	32.01	stress response
NCU00884	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU02961	rbg-28	01.03.16.01	RNA degradation
NCU01955	apg-3	14.13.04.02	vacuolar protein degradation
NCU01955	apg-3	20.09.13	vacuolar/lysosomal transport
NCU01175	fpp	01.06.06	isoprenoid metabolism
NCU08287	pyr-3	01.03.04	pyrimidine nucleotide/nucleoside/nucleobase metabolism
NCU08784	None	01.05	C-compound and carbohydrate metabolism
NCU04528	lacc	01.05.11.07.01	aerobic aromate catabolism
NCU04528	lacc	01.25.09	extracellular lignin degradation
NCU02280	nuo21.3b	02.11	electron transport and membrane-associated energy conservation
NCU02280	nuo21.3b	02.13	respiration
NCU02280	nuo21.3b	70.16	mitochondrion
NCU06138	None	20.01.03	C-compound and carbohydrate transport
NCU06138	None	20.09.18.07	non-vesicular cellular import
NCU08072	gh16-10	70.01	cell wall
NCU05516	None	01.07.04	utilization of vitamins, cofactors, and prosthetic groups
NCU05516	None	14.07	protein modification
NCU04766	None	11.02.03.04	transcriptional control
NCU04766	None	43.01.03	fungal and other eukaryotic cell type differentiation
NCU04766	None	43.01.03.05	budding, cell polarity and filament formation
NCU04766	None	70.10	nucleus
NCU09212	camk-4	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU09212	camk-4	30.01	cellular signalling
NCU01692	cit-1	02.04	glyoxylate cycle
NCU01692	cit-1	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)
NCU01692	cit-1	70.16	mitochondrion
NCU05185	cyp450-9	01.05	C-compound and carbohydrate metabolism
NCU05185	cyp450-9	02.25	oxidation of fatty acids
NCU07332	None	01.05.11.07.01	aerobic aromate catabolism
NCU05209	None	32.07	detoxification
NCU05347	hH2Az	70.10.03	chromosome
NCU08002	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU08002	None	70.16	mitochondrion
NCU08002	None	70.19	peroxisome
NCU03134	gh47-2	01.05	C-compound and carbohydrate metabolism
NCU01784	None	11.02.02	tRNA synthesis
NCU01784	None	11.06.02	tRNA modification
NCU11185	None	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU11185	None	30.01	cellular signalling
NCU03032	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU00618	crp-6	12.01.01	ribosomal proteins
NCU00618	crp-6	70.03	cytoplasm
NCU08707	None	14.10	assembly of protein complexes
NCU08707	None	20.01.01.01.01	heavy metal ion transport (Cu+, Fe3+, etc.)
NCU08707	None	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU09172	None	20.01.27	drug/toxin transport
NCU09172	None	20.09.16	cellular export and secretion
NCU09172	None	32.05.01.03	chemical agent resistance
NCU09172	None	32.07.05	detoxification by export
NCU01954	msp-14	11.04.03.01	splicing
NCU01954	msp-14	16.01	protein binding
NCU02352	mic-11	20.01.03	C-compound and carbohydrate transport
NCU02352	mic-11	20.09.04	mitochondrial transport
NCU02352	mic-11	70.16	mitochondrion
NCU03255	pht-2	01.04	phosphate metabolism
NCU09024	None	01.01.09.01.01	biosynthesis of glycine
NCU09024	None	01.05	C-compound and carbohydrate metabolism
NCU05305	rpo-15	11.02.01	rRNA synthesis
NCU05305	rpo-15	11.02.02	tRNA synthesis
NCU05305	rpo-15	11.02.03.01	general transcription activities
NCU05305	rpo-15	70.10	nucleus
NCU02741	mei-3	10.01.05	DNA recombination and DNA repair
NCU02741	mei-3	70.10	nucleus
NCU00865	None	01.05	C-compound and carbohydrate metabolism
NCU00865	None	32.05	disease, virulence and defense
NCU04738	drl-6	10.01.03	DNA synthesis and replication
NCU04738	drl-6	70.10	nucleus
NCU03116	None	10.03.05.03	cell cycle dependent actin filament reorganization
NCU03116	None	42.04	cytoskeleton/structural proteins
NCU16423	None	10.01.05.01	DNA repair
NCU16423	None	10.01.05.03	DNA recombination
NCU16423	None	70.10	nucleus
NCU10292	pda-1	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU10292	pda-1	01.20.19.01	metabolism of porphyrins
NCU05969	gh61-9	01.05.03	polysaccharide metabolism
NCU05969	gh61-9	01.25.01	extracellular polysaccharide degradation
NCU03992	fim	43.01.03.05	budding, cell polarity and filament formation
NCU03992	fim	70.04	cytoskeleton
NCU05302	None	16.19.05	GTP binding
NCU05518	None	01.20.17.03	metabolism of amines
NCU05518	None	70.03	cytoplasm
NCU03777	mrp-66	01.06.05	fatty acid metabolism
NCU01756	arp3	70.04	cytoskeleton
NCU10144	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU07787	ccg-14	32.05	disease, virulence and defense
NCU05512	None	16.17.09	heavy metal binding (Cu, Fe, Zn)
NCU05512	None	34.01.01	homeostasis of cations
NCU04274	None	11	TRANSCRIPTION
NCU04274	None	20.01.21	RNA transport
NCU04274	None	20.09.01	nuclear transport
NCU09732	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU09732	None	70.16	mitochondrion
NCU01504	None	10.03.02	meiosis
NCU06123	None	01.05	C-compound and carbohydrate metabolism
NCU06123	None	02.16.03.03	heterofermentative pathway and fermentaton of other saccharides
NCU07325	con-10	43.01.03.07	development of conidia
NCU03796	None	01.01.11	metabolism of the pyruvate family (alanine, isoleucine, leucine, valine) and D-alanine
NCU03796	None	01.01.13	regulation of amino acid metabolism
NCU06622	unr-1	11.04.03.01	splicing
NCU04736	nca-2	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU04736	nca-2	20.03.22	transport ATPases
NCU04736	nca-2	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU04736	nca-2	70.02	eukaryotic plasma membrane / membrane attached
NCU03773	None	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU03773	None	43.01.03	fungal and other eukaryotic cell type differentiation
NCU03773	None	70.02	eukaryotic plasma membrane / membrane attached
NCU09715	gt20-3	01.05	C-compound and carbohydrate metabolism
NCU09715	gt20-3	02.19	metabolism of energy reserves (e.g. glycogen, trehalose)
NCU09715	gt20-3	70.03	cytoplasm
NCU07196	ro-12	20.09.07	vesicular transport (Golgi network, etc.)
NCU05564	pex31	42.19	peroxisome
NCU05564	pex31	70.19	peroxisome
NCU01914	vsp-4	14.04	protein targeting, sorting and translocation
NCU01914	vsp-4	20.09.13	vacuolar/lysosomal transport
NCU01914	vsp-4	70.03	cytoplasm
NCU09568	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU01021	eif3f	12.04	translation
NCU03979	bio-1	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU08111	ant-1	14.07.09	posttranslational modification of amino acids (e.g. hydroxylation, methylation)
NCU07821	None	01.02	nitrogen, sulfur and selenium metabolism
NCU02070	pex2	41.01	fungal/microorganismic development
NCU02070	pex2	42.19	peroxisome
NCU02070	pex2	70.19	peroxisome
NCU03013	acw-10	32.01	stress response
NCU03013	acw-10	32.07.03	detoxification by modification
NCU09463	leu-6	12.10	aminoacyl-tRNA-synthetases
NCU09463	leu-6	70.03	cytoplasm
NCU06397	None	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis
NCU06397	None	42.04	cytoskeleton/structural proteins
NCU06397	None	43.01.03.05	budding, cell polarity and filament formation
NCU06397	None	70.04	cytoskeleton
NCU02282	gsl-11	01.06	lipid, fatty acid and isoprenoid metabolism
NCU02282	gsl-11	32.05.01.01	antibiotic resistance
NCU01962	eat-5	02.13.03	aerobic respiration
NCU03466	None	11.02.03.04	transcriptional control
NCU03466	None	70.10	nucleus
NCU08515	vma-2	16.19.03	ATP binding
NCU08515	vma-2	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU08515	vma-2	20.03.22	transport ATPases
NCU08515	vma-2	20.09.13	vacuolar/lysosomal transport
NCU08515	vma-2	34.01.01.03	homeostasis of protons
NCU08515	vma-2	70.25	vacuole or lysosome
NCU07608	ppm-3	01.05	C-compound and carbohydrate metabolism
NCU07608	ppm-3	02.07.03	pentose-phosphate pathway non oxidative branch
NCU08053	None	42.04.03	actin cytoskeleton
NCU04640	eif2-b	12.04.01	translation initiation
NCU04292	val-1	01.01	amino acid metabolism
NCU08278	mic-29	20.09.04	mitochondrial transport
NCU08278	mic-29	70.16	mitochondrion
NCU09631	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU02256	None	70.10	nucleus
NCU02256	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU00838	None	01.05	C-compound and carbohydrate metabolism
NCU11410	cdc7	10.01.03	DNA synthesis and replication
NCU11410	cdc7	10.03.01	mitotic cell cycle and cell cycle control
NCU11410	cdc7	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU11410	cdc7	30.01	cellular signalling
NCU02437	hH2A	10.03.04.03	chromosome condensation
NCU02437	hH2A	70.10.03	chromosome
NCU07041	None	12.01	ribosome biogenesis
NCU07041	None	70.10	nucleus
NCU06360	his-5	01.01.09.07.01	biosynthesis of histidine
NCU07119	None	01.20.36	non-ribosomal peptide synthesis
NCU01118	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU08783	None	01.05	C-compound and carbohydrate metabolism
NCU00680	mcd-1	01.01.06.06.01	biosynthesis of lysine
NCU09636	None	01.05	C-compound and carbohydrate metabolism
NCU09636	None	01.20	secondary metabolism
NCU09636	None	20.01.15	electron transport
NCU09636	None	32.05.05.01	toxins
NCU11286	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU08856	None	70.19	peroxisome
NCU08457	eas	43.01.03.09	development of asco- basidio- or zygospore
NCU04462	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU04462	None	70.07	endoplasmic reticulum
NCU01704	None	01.20	secondary metabolism
NCU01704	None	30.05	transmembrane signal transduction
NCU01704	None	40.02.03	activity of intercellular mediators
NCU03230	mrp-11	12.01.01	ribosomal proteins
NCU03230	mrp-11	70.16	mitochondrion
NCU02006	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU04393	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU04431	gh16-3	01.05.03	polysaccharide metabolism
NCU03166	ad-3A	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU07930	cys-18	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU09189	None	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU09189	None	30.01.05	enzyme mediated signal transduction
NCU04454	alg-9	01.05	C-compound and carbohydrate metabolism
NCU06643	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU06643	None	02.25	oxidation of fatty acids
NCU06643	None	20.01.13	lipid/fatty acid transport
NCU01800	mrp-5	12.01	ribosome biogenesis
NCU01800	mrp-5	70.16	mitochondrion
NCU03623	None	14.13	protein/peptide degradation
NCU06715	None	40.01.05	growth regulators / regulation of cell size
NCU05789	gh16-6	01.05.03	polysaccharide metabolism
NCU01195	am-1	01.01.03.01.02	degradation of glutamine
NCU01195	am-1	01.01.03.03.02	degradation of proline
NCU01195	am-1	01.01.03.05.02	degradation of arginine
NCU01195	am-1	01.02	nitrogen, sulfur and selenium metabolism
NCU01759	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU07409	None	11.06.02	tRNA modification
NCU07409	None	16.01	protein binding
NCU07779	ccr4	01.05.25	regulation of C-compound and carbohydrate metabolism
NCU04593	None	01.20.35.01.01	metabolism of melanins
NCU10011	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU10011	None	20.01.15	electron transport
NCU10011	None	32.05.05	virulence, disease factors
NCU01013	None	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU02963	pfo-1	11.02.03.04.03	transcription repression
NCU02963	pfo-1	14.01	protein folding and stabilization
NCU02925	fbm-1	01.05	C-compound and carbohydrate metabolism
NCU02925	fbm-1	01.20	secondary metabolism
NCU05587	arp6	42.04.03	actin cytoskeleton
NCU05587	arp6	70.04.03	actin cytoskeleton
NCU05995	ubi	14.07.05	modification by ubiquitination, deubiquitination
NCU05995	ubi	14.10	assembly of protein complexes
NCU05995	ubi	14.13.01	cytoplasmic and nuclear protein degradation
NCU05995	ubi	32.01	stress response
NCU07746	None	14.04	protein targeting, sorting and translocation
NCU07746	None	20.09	transport routes
NCU07746	None	70.07	endoplasmic reticulum
NCU01793	None	11.02.02	tRNA synthesis
NCU01793	None	11.04.02	tRNA processing
NCU01793	None	70.10	nucleus
NCU03309	None	14.07.07	modification by ubiquitin-related proteins
NCU03309	None	32.01	stress response
NCU03062	None	11.04.03.01	splicing
NCU03062	None	70.10	nucleus
NCU09027	None	20.01.03	C-compound and carbohydrate transport
NCU04344	eif2B-a	12.04.01	translation initiation
NCU02505	suc	01.05	C-compound and carbohydrate metabolism
NCU02505	suc	01.06.05	fatty acid metabolism
NCU02505	suc	01.07	metabolism of vitamins, cofactors, and prosthetic groups
NCU02505	suc	02.01	glycolysis and gluconeogenesis
NCU02505	suc	16.19.03	ATP binding
NCU03264	None	10.03.05	cell cycle dependent cytoskeleton reorganization
NCU03264	None	34.05.01	cell migration
NCU00631	crf9-1	10.01.05.01	DNA repair
NCU00631	crf9-1	70.10	nucleus
NCU04494	ce1-3	01.05.03	polysaccharide metabolism
NCU04494	ce1-3	32.05.05	virulence, disease factors
NCU04494	ce1-3	70.27	extracellular / secretion proteins
NCU04898	trm-9	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU04898	trm-9	20.03.22	transport ATPases
NCU04898	trm-9	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU05192	None	01.20	secondary metabolism
NCU00157	csn-1	30.01.05	enzyme mediated signal transduction
NCU01523	None	20.09.07	vesicular transport (Golgi network, etc.)
NCU02583	gla-2	01.05.03	polysaccharide metabolism
NCU07267	bli-3	41.01	fungal/microorganismic development
NCU03954	tbg	10.03.05.01	spindle pole body/centrosome and microtubule cycle
NCU03954	tbg	42.04.05	microtubule cytoskeleton
NCU01070	None	12.04	translation
NCU00040	eif3a	12.04.01	translation initiation
NCU00040	eif3a	70.03	cytoplasm
NCU03730	None	11.02.02	tRNA synthesis
NCU03730	None	11.06.02	tRNA modification
NCU00169	None	14.04	protein targeting, sorting and translocation
NCU00169	None	70	SUBCELLULAR LOCALIZATION
NCU05151	None	02.07	pentose-phosphate pathway
NCU00075	tim14	14.01	protein folding and stabilization
NCU00075	tim14	32.01.05	heat shock response
NCU00075	tim14	70.16	mitochondrion
NCU01214	None	01.05	C-compound and carbohydrate metabolism
NCU01214	None	70.27	extracellular / secretion proteins
NCU05586	None	01.05	C-compound and carbohydrate metabolism
NCU05586	None	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)
NCU03409	None	01.03.16	polynucleotide degradation
NCU03409	None	43.01.03	fungal and other eukaryotic cell type differentiation
NCU03409	None	43.01.03.05	budding, cell polarity and filament formation
NCU03409	None	70.10	nucleus
NCU03815	nap-1	01.01	amino acid metabolism
NCU03815	nap-1	20.01.07	amino acid/amino acid derivatives transport
NCU03815	nap-1	20.03	transport facilities
NCU03071	os-4	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation
NCU03071	os-4	18.02.01.01	enzyme activator
NCU03071	os-4	30.01.05.01.03	MAPKKK cascade
NCU03071	os-4	32.01	stress response
NCU00292	cea-3	01.06	lipid, fatty acid and isoprenoid metabolism
NCU03915	None	01.05	C-compound and carbohydrate metabolism
NCU01290	snr-10	10.03.01	mitotic cell cycle and cell cycle control
NCU01290	snr-10	40.01	cell growth / morphogenesis
NCU01290	snr-10	70.10	nucleus
NCU04959	gh16-4	01.05.03	polysaccharide metabolism
NCU04959	gh16-4	42.01	cell wall
NCU02605	rpo-14	11.02.01	rRNA synthesis
NCU02605	rpo-14	11.02.02	tRNA synthesis
NCU02605	rpo-14	11.02.03.01	general transcription activities
NCU08268	None	16.01	protein binding
NCU08268	None	30.01	cellular signalling
NCU09048	None	11.04.03.01	splicing
NCU05420	aro-3	01.01.09	metabolism of the cysteine - aromatic group
NCU03662	None	38	TRANSPOSABLE ELEMENTS, VIRAL AND PLASMID PROTEINS
NCU03496	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU02067	mdm12	42.16	mitochondrion
NCU02067	mdm12	70.16	mitochondrion
NCU00419	rpo-17	11.02.01	rRNA synthesis
NCU00419	rpo-17	11.02.02	tRNA synthesis
NCU00419	rpo-17	70.10	nucleus
NCU06946	None	16.19.03	ATP binding
NCU06946	None	20.01.27	drug/toxin transport
NCU06946	None	20.03.25	ABC transporters
NCU06946	None	20.09.16.01	Type I protein secretion system (ABC-type transport systems)
NCU06452	cys-17	01.01.09.03.01	biosynthesis of cysteine
NCU06452	cys-17	70.16	mitochondrion
NCU03814	leu-5	11.02.03	mRNA synthesis
NCU03814	leu-5	11.04.03.01	splicing
NCU03814	leu-5	12.10	aminoacyl-tRNA-synthetases
NCU03814	leu-5	70.16	mitochondrion
NCU05245	pex12	14.10	assembly of protein complexes
NCU05245	pex12	70.19	peroxisome
NCU00963	None	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism
NCU00742	glp-1	01.06.05	fatty acid metabolism
NCU00742	glp-1	16.21.07	NAD/NADP binding
NCU00249	None	14.13.01	cytoplasmic and nuclear protein degradation
NCU01249	nup-6	14.04	protein targeting, sorting and translocation
NCU01249	nup-6	20.09.01	nuclear transport
NCU01249	nup-6	42.10	nucleus
NCU00847	None	01.20	secondary metabolism
NCU01377	cdc16	10.03.01	mitotic cell cycle and cell cycle control
NCU09037	het-13	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU07380	eif3d	10.03.05.01	spindle pole body/centrosome and microtubule cycle
NCU07380	eif3d	16.01	protein binding
NCU07380	eif3d	70.10	nucleus
NCU05417	None	11.02.03.04	transcriptional control
NCU07382	snr-2	11.04.03.01	splicing
NCU07382	snr-2	16.03.03	RNA binding
NCU07382	snr-2	70.10	nucleus
NCU08927	dcd	01.06.05	fatty acid metabolism
NCU05862	None	20.01.27	drug/toxin transport
NCU05862	None	20.09.16	cellular export and secretion
NCU05862	None	32.01.11	nutrient starvation response
NCU05862	None	70.02	eukaryotic plasma membrane / membrane attached
NCU11352	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU04380	None	01.06	lipid, fatty acid and isoprenoid metabolism
NCU00591	None	01.01.11.04.02	degradation of leucine
NCU00591	None	16.21.15	biotin binding
NCU01958	matA-1	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU11102	djc-5	14.04	protein targeting, sorting and translocation
NCU03096	None	11.02.03.01	general transcription activities
NCU03096	None	11.02.03.04	transcriptional control
NCU00700	None	32.05	disease, virulence and defense
NCU00700	None	70.02	eukaryotic plasma membrane / membrane attached
NCU00246	None	32.05.05	virulence, disease factors
NCU00246	None	70.02	eukaryotic plasma membrane / membrane attached
NCU02951	mrp-8	12.01.01	ribosomal proteins
NCU03169	None	16.03.03	RNA binding
NCU03169	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU06020	gh18-7	01.05.03	polysaccharide metabolism
NCU06020	gh18-7	01.05.09.07	aminosaccharide catabolism
NCU06020	gh18-7	01.25.11	extracellular aminosaccharide degradation
NCU06020	gh18-7	70.27	extracellular / secretion proteins
NCU06483	None	16.01	protein binding
NCU01366	cpr-5	14.13	protein/peptide degradation
NCU01282	None	01.05.25	regulation of C-compound and carbohydrate metabolism
NCU01282	None	14.04	protein targeting, sorting and translocation
NCU01282	None	43.01.03	fungal and other eukaryotic cell type differentiation
NCU01282	None	43.01.03.09	development of asco- basidio- or zygospore
NCU01282	None	70.22	endosome
NCU01198	nup-4	11	TRANSCRIPTION
NCU01198	nup-4	20.01.21	RNA transport
NCU01198	nup-4	20.09.01	nuclear transport
NCU02729	None	11.02.03.04	transcriptional control
NCU02729	None	40.01.05	growth regulators / regulation of cell size
NCU02729	None	70.10	nucleus
NCU07939	None	20.09.07.03	ER to Golgi transport
NCU07939	None	70.07	endoplasmic reticulum
NCU08110	vtc-3	42.25	vacuole or lysosome
NCU11347	None	20.01.27	drug/toxin transport
NCU11347	None	70.02	eukaryotic plasma membrane / membrane attached
