OldLocus	OldGeneID	NewGeneID	NewLocus	RxnID	ReactionName	ReactionEqn	URL
NCU05924.5	7000006085086833	7000007580570005	NCU05924.7	3.2.1.8-RXN	EC# 3.2.1.8	xylan + H<SUB>2</SUB>O  &rarr;  xylobiose
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-296	TRANS-RXN2T-5-DCMP//DCMP.11.	dCMP<sub>[extracellular space]</sub>  &rarr;  dCMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-295	TRANS-RXN2T-5-DUMP//DUMP.11.	dUMP<sub>[extracellular space]</sub>  &rarr;  dUMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-294	TRANS-RXN2T-5-TMP//TMP.9.	dTMP<sub>[extracellular space]</sub>  &rarr;  dTMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-293	TRANS-RXN2T-5-DATP//DATP.11.	dATP<sub>[extracellular space]</sub>  &rarr;  dATP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-292	TRANS-RXN2T-5-DCTP//DCTP.11.	dCTP<sub>[extracellular space]</sub>  &rarr;  dCTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-291	TRANS-RXN2T-5-DGTP//DGTP.11.	dGTP<sub>[extracellular space]</sub>  &rarr;  dGTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-290	TRANS-RXN2T-5-DUTP//DUTP.11.	dUTP<sub>[extracellular space]</sub>  &rarr;  dUTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-289	TRANS-RXN2T-5-TTP//TTP.9.	dTTP<sub>[extracellular space]</sub>  &rarr;  dTTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-288	TRANS-RXN2T-5-CDP//CDP.9.	CDP<sub>[extracellular space]</sub>  &rarr;  CDP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-287	TRANS-RXN2T-5-UDP//UDP.9.	UDP<sub>[extracellular space]</sub>  &rarr;  UDP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-286	TRANS-RXN2T-5-ADP//ADP.9.	ADP<sub>[extracellular space]</sub>  &harr;  ADP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-33	Transport of GDP	GDP<sub>[extracellular space]</sub>  &harr;  GDP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-285	TRANS-RXN2T-5-AMP//AMP.9.	AMP<sub>[extracellular space]</sub>  &rarr;  AMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-284	TRANS-RXN2T-5-CMP//CMP.9.	CMP<sub>[extracellular space]</sub>  &rarr;  CMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-283	TRANS-RXN2T-5-GMP//GMP.9.	GMP<sub>[extracellular space]</sub>  &rarr;  GMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-282	TRANS-RXN2T-5-IMP//IMP.9.	inosine-5'-phosphate<sub>[extracellular space]</sub>  &rarr;  inosine-5'-phosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-281	TRANS-RXN2T-5-UMP//UMP.9.	uridine-5'-phosphate<sub>[extracellular space]</sub>  &rarr;  uridine-5'-phosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-280	TRANS-RXN2T-5-ATP//ATP.9.	ATP<sub>[extracellular space]</sub>  &harr;  ATP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-32	Transport of GTP	GTP<sub>[extracellular space]</sub>  &harr;  GTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-279	TRANS-RXN2T-5-CTP//CTP.9.	CTP<sub>[extracellular space]</sub>  &rarr;  CTP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-278	TRANS-RXN2T-5-UTP//UTP.9.	UTP<sub>[extracellular space]</sub>  &rarr;  UTP<sub>[cytosol]</sub>
NCU00721.5	7000006085194647	7000007580588030	NCU00721.7	TRANS-RXN2T-11	Transport of H<SUP>+</SUP>	L-proline<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-proline<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00758.5	7000006085191203	7000007580559217	NCU00758.7	TRANS-RXN2T-13	Transport of formate	formate<sub>[extracellular space]</sub>  &harr;  formate<sub>[cytosol]</sub>
NCU00758.5	7000006085191203	7000007580559217	NCU00758.7	TRANS-RXN2T-12	Transport of nitrite	nitrite<sub>[extracellular space]</sub>  &rarr;  nitrite<sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-14	transport of standard &alpha; amino acids	a standard &alpha; amino acid<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  a standard &alpha; amino acid<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-343	TRANS-RXN2T-14-CYS/PROTON//CYS/PROTON.23.	L-cysteine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-cysteine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-266	TRANS-RXN2T-234-GLN/PROTON//GLN/PROTON.23.	L-glutamine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-glutamine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-342	TRANS-RXN2T-14-L-ALPHA-ALANINE/PROTON//L-ALPHA-ALANINE/PROTON.47.	L-alanine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-alanine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-341	TRANS-RXN2T-14-LEU/PROTON//LEU/PROTON.23.	L-leucine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-leucine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-340	TRANS-RXN2T-14-LYS/PROTON//LYS/PROTON.23.	L-lysine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-lysine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-35	Transport of H<SUP>+</SUP>	L-methionine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-methionine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-339	TRANS-RXN2T-14-PHE/PROTON//PHE/PROTON.23.	L-phenylalanine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-phenylalanine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-11	Transport of H<SUP>+</SUP>	L-proline<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-proline<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-338	TRANS-RXN2T-14-SER/PROTON//SER/PROTON.23.	L-serine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-serine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-337	TRANS-RXN2T-14-THR/PROTON//THR/PROTON.23.	L-threonine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-threonine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-336	TRANS-RXN2T-14-TRP/PROTON//TRP/PROTON.23.	L-tryptophan<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-tryptophan<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00765.5	7000006085188073	7000007580562679	NCU00765.7	TRANS-RXN2T-335	TRANS-RXN2T-14-TYR/PROTON//TYR/PROTON.23.	L-tyrosine<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-tyrosine<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00782.5	7000006085184674	7000007580552701	NCU00782.7	TRANS-RXN2T-15	Transport of (<i>R</i>)-pantothenate	(<i>R</i>)-pantothenate<sub>[extracellular space]</sub>  &rarr;  (<i>R</i>)-pantothenate<sub>[cytosol]</sub>
NCU00790.5	7000006085181702	7000007580559087	NCU00790.7	TRANS-RXN2T-16	Transport of K<SUP>+</SUP>	K<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  K<SUP>+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-2	Transport of a cation	a cation<sub>[extracellular space]</sub>  &rarr;  a cation<sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	RXN-9615	Transport of ammonium	ammonium<sub>[extracellular space]</sub>  &harr;  ammonium<sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-38	Transport of Ca<SUP>2+</SUP>	Ca<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Ca<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-76	Transport of Co<SUP>2+</SUP>	Co<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Co<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-40	Transport of Fe<SUP>3+</SUP>	Fe<SUP>3+</SUP><sub>[extracellular space]</sub>  &rarr;  Fe<SUP>3+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN-185	Transport of K<SUP>+</SUP>	K<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  K<SUP>+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-16	Transport of K<SUP>+</SUP>	K<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  K<SUP>+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-25	Transport of Ni<SUP>2+</SUP>	Ni<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Ni<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-236	proton leak	H<SUP>+</SUP><sub>[mitochondrial intermembrane space]</sub>  &rarr;  H<SUP>+</SUP><sub>[mitochondrial lumen]</sub>
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	TRANS-RXN2T-21	Transport of Zn<SUP>2+</SUP>	Zn<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Zn<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00801.5	7000006085178696	7000007580544845	NCU00801.7	RXN2T-541	Transport of a cellodextrin	a cellodextrin<sub>[extracellular space]</sub>  &rarr;  a cellodextrin<sub>[cytosol]</sub>
NCU00801.5	7000006085178696	7000007580544845	NCU00801.7	TRANS-RXN2T-219	cellobiose transport	cellobiose<sub>[extracellular space]</sub>  &rarr;  cellobiose<sub>[cytosol]</sub>
NCU00801.5	7000006085178696	7000007580544845	NCU00801.7	TRANS-RXN2T-17	Transport of H<SUP>+</SUP>	lactose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  lactose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	TRANS-RXN2T-18	Transport of H<SUP>+</SUP>	a monosaccharide<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  a monosaccharide<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	TRANS-RXN2T-363	high-affinity glucose transporter	&beta;-D-glucose<sub>[periplasmic space]</sub> + H<SUP>+</SUP><sub>[periplasmic space]</sub>  &rarr;  &beta;-D-glucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	RXN2T-7	Transport of H<SUP>+</SUP>	&beta;-D-glucose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  &beta;-D-glucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	RXN2T-9	Transport of xylose	&alpha;-D-xylose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  &alpha;-D-xylose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	TRANS-RXN2T-29	high affinity glucose system II	a hexose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  a hexose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	TRANS-RXN2T-60	Transport of H<SUP>+</SUP>	L-fucose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-fucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU00821.5	7000006085175885	7000007580577279	NCU00821.7	TRANS-RXN2T-92	Transport of a sugar	a sugar<sub>[extracellular space]</sub>  &rarr;  a sugar<sub>[cytosol]</sub>
NCU00821.5	7000006085175885	7000007580577279	NCU00821.7	RXN2T-67	Transport of &beta;-D-fructofuranose	&beta;-D-fructofuranose<sub>[extracellular space]</sub>  &rarr;  &beta;-D-fructofuranose<sub>[cytosol]</sub>
NCU00821.5	7000006085175885	7000007580577279	NCU00821.7	TRANS-RXN2T-52	Transport of a monosaccharide	a monosaccharide<sub>[extracellular space]</sub>  &rarr;  a monosaccharide<sub>[cytosol]</sub>
NCU00830.5	7000006085175648	7000007580572368	NCU00830.7	TRANS-RXN2T-20	Transport of Cu<SUP>2+</SUP>	Cu<SUP>2+</SUP><sub>[mitochondrial intermembrane space]</sub>  &rarr;  Cu<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00860.5	7000006085195184	7000007580559702	NCU00860.7	TRANS-RXN2T-21	Transport of Zn<SUP>2+</SUP>	Zn<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Zn<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-2	Transport of a cation	a cation<sub>[extracellular space]</sub>  &rarr;  a cation<sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	RXN-9615	Transport of ammonium	ammonium<sub>[extracellular space]</sub>  &harr;  ammonium<sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-38	Transport of Ca<SUP>2+</SUP>	Ca<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Ca<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-76	Transport of Co<SUP>2+</SUP>	Co<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Co<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-40	Transport of Fe<SUP>3+</SUP>	Fe<SUP>3+</SUP><sub>[extracellular space]</sub>  &rarr;  Fe<SUP>3+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN-185	Transport of K<SUP>+</SUP>	K<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  K<SUP>+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-16	Transport of K<SUP>+</SUP>	K<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  K<SUP>+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-25	Transport of Ni<SUP>2+</SUP>	Ni<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Ni<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-236	proton leak	H<SUP>+</SUP><sub>[mitochondrial intermembrane space]</sub>  &rarr;  H<SUP>+</SUP><sub>[mitochondrial lumen]</sub>
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	TRANS-RXN2T-21	Transport of Zn<SUP>2+</SUP>	Zn<SUP>2+</SUP><sub>[extracellular space]</sub>  &rarr;  Zn<SUP>2+</SUP><sub>[cytosol]</sub>
NCU00988.5	7000006085175573	7000007580556141	NCU00988.7	TRANS-RXN2T-22	Transport of quinate	L-quinate<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-quinate<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01055.5	7000006084958163	7000007580579486	NCU01055.7	TRANS-RXN2T-93	Transport of chromate	chromate<sub>[extracellular space]</sub>  &rarr;  chromate<sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	TRANS-RXN2T-18	Transport of H<SUP>+</SUP>	a monosaccharide<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  a monosaccharide<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	TRANS-RXN2T-363	high-affinity glucose transporter	&beta;-D-glucose<sub>[periplasmic space]</sub> + H<SUP>+</SUP><sub>[periplasmic space]</sub>  &rarr;  &beta;-D-glucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	RXN2T-7	Transport of H<SUP>+</SUP>	&beta;-D-glucose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  &beta;-D-glucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	RXN2T-9	Transport of xylose	&alpha;-D-xylose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  &alpha;-D-xylose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	TRANS-RXN2T-29	high affinity glucose system II	a hexose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  a hexose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	TRANS-RXN2T-60	Transport of H<SUP>+</SUP>	L-fucose<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>  &rarr;  L-fucose<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-24	Transport of a carboxylate	a carboxylate<sub>[extracellular space]</sub>  &rarr;  a carboxylate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-233	Transport of acetate	acetate<sub>[extracellular space]</sub>  &harr;  acetate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-330	TRANS-RXN2T-61-13-HYDROPEROXYOCTADECA-911-DIENOATE//13-HYDROPEROXYOCTADECA-911-DIENOATE.73.	13(S)-hydroperoxyoctadeca-9,11-dienoate<sub>[extracellular space]</sub>  &rarr;  13(S)-hydroperoxyoctadeca-9,11-dienoate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-329	TRANS-RXN2T-61-CPD-725//CPD-725.17.	13(S)-hydroperoxylinolenate<sub>[extracellular space]</sub>  &rarr;  13(S)-hydroperoxylinolenate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-328	TRANS-RXN2T-61-ARACHIDIC_ACID//ARACHIDIC_ACID.31.	arachidate<sub>[extracellular space]</sub>  &rarr;  arachidate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-327	TRANS-RXN2T-61-ARACHIDONIC_ACID//ARACHIDONIC_ACID.35.	arachidonate<sub>[extracellular space]</sub>  &rarr;  arachidonate<sub>[cytosol]</sub>
NCU01231.5	7000006084959497	7000007580557637	NCU01231.7	TRANS-RXN2T-326	TRANS-RXN2T-61-CPD-728//CPD-728.17.	12,13(S)-epoxylinolenate<sub>[extracellular space]</sub>  &rarr;  12,13(S)-epoxylinolenate<sub>[cytosol]</sub>
