OldLocus	OldGeneID	NewGeneID	NewLocus	PathwayID	PathwayName	URL
NCU05924.5	7000006085086833	7000007580570005	NCU05924.7	PWY2T-10	xylan degradation
NCU00713.5	7000006085194692	7000007580585064	NCU00713.7	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU00736.5	7000006085193402	7000007580548764	NCU00736.7	PWY-5354	molybdenum cofactor biosynthesis
NCU00761.5	7000006085188144	7000007580540547	NCU00761.7	LIPAS-PWY-1	triacylglycerol degradation
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	PWY-5076	leucine degradation III
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	LEUSYN-PWY	leucine biosynthesis
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	LEU-DEG2-PWY	leucine degradation I
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	PWY-5057	valine degradation II
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	VALSYN-PWY	valine biosynthesis
NCU00792.5	7000006085181682	7000007580566083	NCU00792.7	VALDEG-PWY	valine degradation I
NCU00836.5	7000006085172913	7000007580544810	NCU00836.7	PWY2T-7	cellulose degradation
NCU00836.5	7000006085172913	7000007580544810	NCU00836.7	PWY-6788	cellulose degradation II (fungi)
NCU00836.5	7000006085172913	7000007580544810	NCU00836.7	PWY2T-42	cellulose degradation III (neurospora)
NCU00896.5	7000006085193992	7000007580556125	NCU00896.7	PWY-6352	3-phosphoinositide biosynthesis
NCU00902.5	7000006085193963	7000007580571663	NCU00902.7	PWY2T-41	Circadian clock (Yu model)
NCU00944.5	7000006085187833	7000007580548347	NCU00944.7	PWY-5436	threonine degradation IV
NCU01050.5	7000006084971453	7000007580570926	NCU01050.7	PWY2T-7	cellulose degradation
NCU01050.5	7000006084971453	7000007580570926	NCU01050.7	PWY-6788	cellulose degradation II (fungi)
NCU01050.5	7000006084971453	7000007580570926	NCU01050.7	PWY2T-42	cellulose degradation III (neurospora)
NCU01065.5	7000006084958342	7000007580573894	NCU01065.7	PWY-5986	ammonium transport
NCU01141.5	7000006084967347	7000007580550280	NCU01141.7	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
NCU01141.5	7000006084967347	7000007580550280	NCU01141.7	PWY-5269	cardiolipin biosynthesis II
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY-4302	aerobic respiration -- electron donor III
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY2T-14	aerobic xylose fermentation
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY2T-15	aerobic xylose fermentation
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY2T-2574	aerobic respiration
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY-3781	aerobic respiration -- electron donor II
NCU01142.5	7000006084967459	7000007580581883	NCU01142.7	PWY2T-21	redox potential pathway
NCU01333.5	7000006084992195	7000007580538760	NCU01333.7	PWY-6075	ergosterol biosynthesis
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY-4302	aerobic respiration -- electron donor III
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY2T-14	aerobic xylose fermentation
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY2T-15	aerobic xylose fermentation
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY2T-2574	aerobic respiration
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY-3781	aerobic respiration -- electron donor II
NCU01360.5	7000006084997197	7000007580542720	NCU01360.7	PWY2T-21	redox potential pathway
NCU01371.5	7000006085000081	7000007580564319	NCU01371.7	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
NCU01371.5	7000006085000081	7000007580564319	NCU01371.7	PWY-5269	cardiolipin biosynthesis II
NCU01402.5	7000006085007434	7000007580570694	NCU01402.7	PWY-6309	tryptophan degradation XI (mammalian, via kynurenine)
NCU01417.5	7000006085009905	7000007580550499	NCU01417.7	PWY0-42	2-methylcitrate cycle I
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY-4302	aerobic respiration -- electron donor III
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY2T-14	aerobic xylose fermentation
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY2T-15	aerobic xylose fermentation
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY2T-2574	aerobic respiration
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY-3781	aerobic respiration -- electron donor II
NCU01467.5	7000006084990355	7000007580538147	NCU01467.7	PWY2T-21	redox potential pathway
NCU01484.5	7000006085093176	7000007580578110	NCU01484.7	PWY2T-19	cell wall biosynthesis (neurospora)
NCU01500.5	7000006085091788	7000007580566418	NCU01500.7	PWY3O-4106	NAD salvage pathway III
NCU01553.5	7000006085098699	7000007580578241	NCU01553.7	PWY3O-19	ubiquinone-6 biosynthesis (eukaryotic)
NCU01553.5	7000006085098699	7000007580578241	NCU01553.7	PWY-5870	ubiquinone-8 biosynthesis (eukaryotic)
NCU01553.5	7000006085098699	7000007580578241	NCU01553.7	PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
NCU01562.5	7000006085098542	7000007580583232	NCU01562.7	PWY-6085	2,4-dichlorophenoxyacetate  degradation
NCU01606.5	7000006085097919	7000007580566458	NCU01606.7	PWY2T-14	aerobic xylose fermentation
NCU01606.5	7000006085097919	7000007580566458	NCU01606.7	PWY2T-15	aerobic xylose fermentation
NCU01606.5	7000006085097919	7000007580566458	NCU01606.7	PWY2T-2574	aerobic respiration
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	PWY2T-2576	&alpha;-linolenate biosynthesis II (neurospora)
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	PWY-5972	stearate biosynthesis I (animals)
NCU01654.5	7000006085096938	7000007580545325	NCU01654.7	PWY-5143	fatty acid activation
NCU01757.5	7000006085089463	7000007580585807	NCU01757.7	ASPARAGINE-DEG1-PWY	asparagine degradation I
NCU01813.5	7000006085098459	7000007580585864	NCU01813.7	PWY2T-7	cellulose degradation
NCU01867.5	7000006085168707	7000007580540371	NCU01867.7	PWY2T-7	cellulose degradation
NCU01867.5	7000006085168707	7000007580540371	NCU01867.7	PWY-6788	cellulose degradation II (fungi)
NCU01867.5	7000006085168707	7000007580540371	NCU01867.7	PWY2T-42	cellulose degradation III (neurospora)
NCU02179.5	7000006085106266	7000007580555754	NCU02179.7	ALACAT2-PWY	alanine degradation II (to D-lactate)
NCU02179.5	7000006085106266	7000007580555754	NCU02179.7	FERMENTATION-PWY	mixed acid fermentation
NCU02209.5	7000006085100003	7000007580568524	NCU02209.7	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU02227.5	7000006085100645	7000007580547751	NCU02227.7	GLUTORN-PWY	ornithine biosynthesis
NCU02227.5	7000006085100645	7000007580547751	NCU02227.7	ARGSYNBSUB-PWY-1	arginine biosynthesis II (acetyl cycle)
NCU02240.5	7000006085101871	7000007580565494	NCU02240.7	PWY2T-7	cellulose degradation
NCU02240.5	7000006085101871	7000007580565494	NCU02240.7	PWY-6788	cellulose degradation II (fungi)
NCU02240.5	7000006085101871	7000007580565494	NCU02240.7	PWY2T-42	cellulose degradation III (neurospora)
NCU02250.5	7000006085099675	7000007580544259	NCU02250.7	PWY2T-14	aerobic xylose fermentation
NCU02250.5	7000006085099675	7000007580544259	NCU02250.7	PWY2T-15	aerobic xylose fermentation
NCU02250.5	7000006085099675	7000007580544259	NCU02250.7	PWY2T-2574	aerobic respiration
NCU02265.5	7000006085100048	7000007580551494	NCU02265.7	PWY2T-41	Circadian clock (Yu model)
NCU02269.5	7000006085100059	7000007580565408	NCU02269.7	PWY-6111-1	mitochondrial L-carnitine shuttle pathway II (fungi)
NCU02287.5	7000006085100711	7000007580551608	NCU02287.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU02287.5	7000006085100711	7000007580551608	NCU02287.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU02291.5	7000006085101098	7000007580555322	NCU02291.7	PWY-5177	glutaryl-CoA degradation
NCU02305.5	7000006085101814	7000007580571522	NCU02305.7	PWY-5783	octaprenyl diphosphate biosynthesis
NCU02305.5	7000006085101814	7000007580571522	NCU02305.7	PWY-5806	all-<i>trans</i>-decaprenyl diphosphate biosynthesis
NCU02305.5	7000006085101814	7000007580571522	NCU02305.7	PWY-5807	heptaprenyl diphosphate biosynthesis
NCU02305.5	7000006085101814	7000007580571522	NCU02305.7	PWY-5805	nonaprenyl diphosphate biosynthesis I
NCU02305.5	7000006085101814	7000007580571522	NCU02305.7	HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
NCU02344.5	7000006085100784	7000007580543743	NCU02344.7	PWY2T-7	cellulose degradation
NCU02344.5	7000006085100784	7000007580543743	NCU02344.7	PWY-6788	cellulose degradation II (fungi)
NCU02344.5	7000006085100784	7000007580543743	NCU02344.7	PWY2T-42	cellulose degradation III (neurospora)
NCU02356.5	7000006085101201	7000007580551423	NCU02356.7	PWY2T-41	Circadian clock (Yu model)
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY-4302	aerobic respiration -- electron donor III
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY2T-14	aerobic xylose fermentation
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY2T-15	aerobic xylose fermentation
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY2T-2574	aerobic respiration
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY-3781	aerobic respiration -- electron donor II
NCU02373.5	7000006085100183	7000007580562262	NCU02373.7	PWY2T-21	redox potential pathway
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY-4302	aerobic respiration -- electron donor III
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY2T-14	aerobic xylose fermentation
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY2T-15	aerobic xylose fermentation
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY2T-2574	aerobic respiration
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY-3781	aerobic respiration -- electron donor II
NCU02472.5	7000006085177275	7000007580563082	NCU02472.7	PWY2T-21	redox potential pathway
NCU02536.5	7000006085192439	7000007580585315	NCU02536.7	PWY3O-19	ubiquinone-6 biosynthesis (eukaryotic)
NCU02550.5	7000006085104454	7000007580588062	NCU02550.7	PWY0-1301	melibiose degradation
NCU02663.5	7000006085183726	7000007580583009	NCU02663.7	P163-PWY	lysine fermentation to acetate and butyrate
NCU02665.5	7000006085183772	7000007580568738	NCU02665.7	PWY-5885	wax esters biosynthesis II
NCU02665.5	7000006085183772	7000007580568738	NCU02665.7	TRIGLSYN-PWY	triacylglycerol biosynthesis
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	GLYCOCAT-PWY	glycogen degradation I
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	PWY-5661	GDP-glucose biosynthesis
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	PWY0-1182	trehalose degradation II (trehalase)
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	PWY2T-9	cellulose conversion to ethanol
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	ANAEROFRUCAT-PWY	homolactic fermentation
NCU02702.5	7000006085192693	7000007580559617	NCU02702.7	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
NCU02726.5	7000006085193740	7000007580580182	NCU02726.7	PWY4FS-6	phosphatidylethanolamine biosynthesis II
NCU02726.5	7000006085193740	7000007580580182	NCU02726.7	PWY-3385	choline biosynthesis I
NCU02906.5	7000006085185473	7000007580552346	NCU02906.7	GLUCONEO-PWY	gluconeogenesis I
NCU02916.5	7000006085182627	7000007580552433	NCU02916.7	PWY2T-7	cellulose degradation
NCU02916.5	7000006085182627	7000007580552433	NCU02916.7	PWY-6788	cellulose degradation II (fungi)
NCU02916.5	7000006085182627	7000007580552433	NCU02916.7	PWY2T-42	cellulose degradation III (neurospora)
NCU03031.5	7000006085188433	7000007580571857	NCU03031.7	PWY-4302	aerobic respiration -- electron donor III
NCU03031.5	7000006085188433	7000007580571857	NCU03031.7	PWY-5690	TCA cycle variation III (eukaryotic)
NCU03031.5	7000006085188433	7000007580571857	NCU03031.7	PWY-3781	aerobic respiration -- electron donor II
NCU03031.5	7000006085188433	7000007580571857	NCU03031.7	PWY-561	superpathway of glyoxylate cycle
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY-4302	aerobic respiration -- electron donor III
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY2T-14	aerobic xylose fermentation
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY2T-15	aerobic xylose fermentation
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY2T-2574	aerobic respiration
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY-3781	aerobic respiration -- electron donor II
NCU03093.5	7000006085193762	7000007580548262	NCU03093.7	PWY2T-21	redox potential pathway
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY-4302	aerobic respiration -- electron donor III
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY2T-14	aerobic xylose fermentation
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY2T-15	aerobic xylose fermentation
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY2T-2574	aerobic respiration
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY-3781	aerobic respiration -- electron donor II
NCU03156.5	7000006085105997	7000007580568838	NCU03156.7	PWY2T-21	redox potential pathway
NCU03170.5	7000006085169423	7000007580566253	NCU03170.7	PWY-5354	molybdenum cofactor biosynthesis
NCU03176.5	7000006085169485	7000007580587893	NCU03176.7	PWY3O-450	phosphatidylcholine biosynthesis I
NCU03199.5	7000006085174570	7000007580552725	NCU03199.7	PWY2T-14	aerobic xylose fermentation
NCU03199.5	7000006085174570	7000007580552725	NCU03199.7	PWY2T-15	aerobic xylose fermentation
NCU03199.5	7000006085174570	7000007580552725	NCU03199.7	PWY2T-2574	aerobic respiration
NCU03243.5	7000006085184122	7000007580555998	NCU03243.7	LIPASYN-PWY	phospholipases
NCU03257.5	7000006085187512	7000007580552677	NCU03257.7	PWY-5986	ammonium transport
NCU03290.5	7000006085193098	7000007580559456	NCU03290.7	PWY-4041	&gamma;-glutamyl cycle
NCU03295.5	7000006085193153	7000007580582699	NCU03295.7	PWY-5754	4-hydroxybenzoate biosynthesis I (animals)
NCU03317.5	7000006085194491	7000007580569285	NCU03317.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU03325.5	7000006085195010	7000007580575082	NCU03325.7	LIPAS-PWY-1	triacylglycerol degradation
NCU03328.5	7000006085096711	7000007580580654	NCU03328.7	PWY2T-7	cellulose degradation
NCU03328.5	7000006085096711	7000007580580654	NCU03328.7	PWY-6788	cellulose degradation II (fungi)
NCU03328.5	7000006085096711	7000007580580654	NCU03328.7	PWY2T-42	cellulose degradation III (neurospora)
NCU03347.5	7000006085095246	7000007580549020	NCU03347.7	PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
NCU03347.5	7000006085095246	7000007580549020	NCU03347.7	PWY-6309	tryptophan degradation XI (mammalian, via kynurenine)
NCU03381.5	7000006085092613	7000007580585787	NCU03381.7	PWY-5667	CDP-diacylglycerol biosynthesis I
NCU03492.5	7000006085097703	7000007580569731	NCU03492.7	SPHINGOLIPID-SYN-PWY	sphingolipid metabolism
NCU03492.5	7000006085097703	7000007580569731	NCU03492.7	PWY2T-23	sphingolipid metabolism (Neurosospora)
NCU03503.5	7000006085097351	7000007580578212	NCU03503.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU03559.5	7000006085093670	7000007580560076	NCU03559.7	PWY2T-14	aerobic xylose fermentation
NCU03559.5	7000006085093670	7000007580560076	NCU03559.7	PWY2T-15	aerobic xylose fermentation
NCU03559.5	7000006085093670	7000007580560076	NCU03559.7	PWY2T-2574	aerobic respiration
NCU03559.5	7000006085093670	7000007580560076	NCU03559.7	PWY-3781	aerobic respiration -- electron donor II
NCU03559.5	7000006085093670	7000007580560076	NCU03559.7	PWY2T-21	redox potential pathway
NCU03607.5	7000006084961231	7000007580570664	NCU03607.7	PWY-6196	serine racemization
NCU03648.5	7000006084965885	7000007580542509	NCU03648.7	GLUTAMINDEG-PWY	glutamine degradation I
NCU03670.5	7000006084957494	7000007580567637	NCU03670.7	LIPASYN-PWY	phospholipases
NCU03753.5	7000006084966157	7000007580587145	NCU03753.7	PWY2T-41	Circadian clock (Yu model)
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY-5031	histidine degradation V
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY-5082	methionine degradation III
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY-5079	phenylalanine degradation III
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PHESYN	phenylalanine biosynthesis I
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY-5081	tryptophan degradation VIII (to tryptophol)
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY-5886	4-hydroxyphenylpyruvate biosynthesis
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	TYRFUMCAT-PWY	tyrosine degradation I
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	TYRSYN-1	tyrosine biosynthesis I
NCU03756.5	7000006084966246	7000007580542390	NCU03756.7	PWY3O-4108-1	tyrosine degradation III
NCU03768.5	7000006084969248	7000007580573862	NCU03768.7	ASPARAGINE-DEG1-PWY	asparagine degradation I
NCU03771.5	7000006084969442	7000007580538570	NCU03771.7	PWY-5667	CDP-diacylglycerol biosynthesis I
NCU03788.5	7000006084970924	7000007580584505	NCU03788.7	CYSTSYN-PWY	cysteine biosynthesis I
NCU03788.5	7000006084970924	7000007580584505	NCU03788.7	PWY2T-24	cysteine and methionine metabolism
NCU03846.5	7000006085079130	7000007580563582	NCU03846.7	PWY-6168	flavin biosynthesis III (fungi)
NCU03861.5	7000006085024280	7000007580541533	NCU03861.7	GLUTAMINDEG-PWY	glutamine degradation I
NCU03913.5	7000006085024001	7000007580556778	NCU03913.7	ILEUDEG-PWY	isoleucine degradation I
NCU03913.5	7000006085024001	7000007580556778	NCU03913.7	LEU-DEG2-PWY	leucine degradation I
NCU03913.5	7000006085024001	7000007580556778	NCU03913.7	VALDEG-PWY	valine degradation I
NCU03929.5	7000006085023750	7000007580537470	NCU03929.7	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU03929.5	7000006085023750	7000007580537470	NCU03929.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU03929.5	7000006085023750	7000007580537470	NCU03929.7	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU03929.5	7000006085023750	7000007580537470	NCU03929.7	PWY-5972	stearate biosynthesis I (animals)
NCU03929.5	7000006085023750	7000007580537470	NCU03929.7	PWY-5143	fatty acid activation
NCU03957.5	7000006085078963	7000007580572891	NCU03957.7	PWY3O-19	ubiquinone-6 biosynthesis (eukaryotic)
NCU03957.5	7000006085078963	7000007580572891	NCU03957.7	PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
NCU03996.5	7000006085024562	7000007580569856	NCU03996.7	PWY-6788	cellulose degradation II (fungi)
NCU03996.5	7000006085024562	7000007580569856	NCU03996.7	PWY2T-42	cellulose degradation III (neurospora)
