geneid	funcatid	funcattermname	pubmedid	evidencecode
NCU00292	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00294	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00294	70.03	cytoplasm	PMID:15486203	IEA
NCU00298	20.01.03	C-compound and carbohydrate transport	PMID:15486203	IEA
NCU00298	20.09.18	cellular import	PMID:15486203	IEA
NCU00298	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU00299	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00299	02.25	oxidation of fatty acids	PMID:15486203	IEA
NCU00301	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00301	70.10	nucleus	PMID:15486203	IEA
NCU00302	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00303	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00310	11.02.02	tRNA synthesis	PMID:15486203	IEA
NCU00315	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00315	70.03	cytoplasm	PMID:15486203	IEA
NCU00316	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00316	02.25	oxidation of fatty acids	PMID:15486203	IEA
NCU00316	20.01.17	nucleotide/nucleoside/nucleobase transport	PMID:15486203	IEA
NCU00316	70.19	peroxisome	PMID:15486203	IEA
NCU00324	30.01.05.01.03	MAPKKK cascade	PMID:15486203	IEA
NCU00324	32.01	stress response	PMID:15486203	IEA
NCU00326	40.20	cell aging	PMID:15486203	IEA
NCU00333	14.07	protein modification	PMID:15486203	IEA
NCU00333	16.19.05	GTP binding	PMID:15486203	IEA
NCU00333	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU00334	11.04.01	rRNA processing	PMID:15486203	IEA
NCU00338	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00338	32.05.05	virulence, disease factors	PMID:15486203	IEA
NCU00340	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00346	16.13	C-compound binding	PMID:15486203	IEA
NCU00346	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU00350	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00350	32.07.03	detoxification by modification	PMID:15486203	IEA
NCU00352	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)	PMID:15486203	IEA
NCU00352	20.03.22	transport ATPases	PMID:15486203	IEA
NCU00352	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU00352	70.08	Golgi	PMID:15486203	IEA
NCU00355	32.01	stress response	PMID:15486203	IEA
NCU00355	32.07.07.01	catalase reaction	PMID:15486203	IEA
NCU00371	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00371	20.03	transport facilities	PMID:15486203	IEA
NCU00371	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU00371	70.16	mitochondrion	PMID:15486203	IEA
NCU00376	16.01	protein binding	PMID:15486203	IEA
NCU00376	16.19.05	GTP binding	PMID:15486203	IEA
NCU00378	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00385	02.45.15	energy generation (e.g. ATP synthase)	PMID:15486203	IEA
NCU00385	20.03.22	transport ATPases	PMID:15486203	IEA
NCU00385	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU00385	34.01.01.03	homeostasis of protons	PMID:15486203	IEA
NCU00385	70.16	mitochondrion	PMID:15486203	IEA
NCU00389	16.19.05	GTP binding	PMID:15486203	IEA
NCU00395	12.07	translational control	PMID:15486203	IEA
NCU00405	12.10	aminoacyl-tRNA-synthetases	PMID:15486203	IEA
NCU00405	70.03	cytoplasm	PMID:15486203	IEA
NCU00406	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	PMID:15486203	IEA
NCU00406	30.01	cellular signalling	PMID:15486203	IEA
NCU00410	12.04.03	translation termination	PMID:15486203	IEA
NCU00410	70.03	cytoplasm	PMID:15486203	IEA
NCU00413	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00413	70.03	cytoplasm	PMID:15486203	IEA
NCU00417	43.01.03	fungal and other eukaryotic cell type differentiation	PMID:15486203	IEA
NCU00418	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU00418	70.16	mitochondrion	PMID:15486203	IEA
NCU00419	11.02.01	rRNA synthesis	PMID:15486203	IEA
NCU00419	11.02.02	tRNA synthesis	PMID:15486203	IEA
NCU00419	70.10	nucleus	PMID:15486203	IEA
NCU00421	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00422	16.03.01	DNA binding	PMID:15486203	IEA
NCU00428	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU00428	10.01.05.03	DNA recombination	PMID:15486203	IEA
NCU00431	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00431	20.03	transport facilities	PMID:15486203	IEA
NCU00431	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU00431	70.16	mitochondrion	PMID:15486203	IEA
NCU00435	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00435	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU00435	70.25	vacuole or lysosome	PMID:15486203	IEA
NCU00436	16.19.05	GTP binding	PMID:15486203	IEA
NCU00436	42.16	mitochondrion	PMID:15486203	IEA
NCU00436	70.16	mitochondrion	PMID:15486203	IEA
NCU00437	01.01.09.06.02	degradation of tryptophan	PMID:15486203	IEA
NCU00437	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU00438	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU00440	16.19.05	GTP binding	PMID:15486203	IEA
NCU00440	30.01.05.05.03	trimeric G-protein mediated signal transduction	PMID:15486203	IEA
NCU00443	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU00444	01.04.04	regulation of phosphate metabolism	PMID:15486203	IEA
NCU00444	01.05.25	regulation of C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00444	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU00444	11.02.03.01	general transcription activities	PMID:15486203	IEA
NCU00444	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00444	70.10	nucleus	PMID:15486203	IEA
NCU00446	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00447	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00447	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU00455	30.01.05.01.03	MAPKKK cascade	PMID:15486203	IEA
NCU00455	32.05.05	virulence, disease factors	PMID:15486203	IEA
NCU00455	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00457	12.04.01	translation initiation	PMID:15486203	IEA
NCU00461	01.01.03.02.02	degradation of glutamate	PMID:15486203	IEA
NCU00463	01.01.09.06.02	degradation of tryptophan	PMID:15486203	IEA
NCU00463	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU00464	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00465	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00466	12.10	aminoacyl-tRNA-synthetases	PMID:15486203	IEA
NCU00467	34.11.01	photoperception and response	PMID:15486203	IEA
NCU00467	41.01	fungal/microorganismic development	PMID:15486203	IEA
NCU00469	42.04.05	microtubule cytoskeleton	PMID:15486203	IEA
NCU00472	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00472	16.01	protein binding	PMID:15486203	IEA
NCU00475	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00477	14.13.04	lysosomal and vacuolar protein degradation	PMID:15486203	IEA
NCU00478	30.01.09.07	cAMP/cGMP mediated signal transduction	PMID:15486203	IEA
NCU00481	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00481	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00484	02.11	electron transport and membrane-associated energy conservation	PMID:15486203	IEA
NCU00484	70.16	mitochondrion	PMID:15486203	IEA
NCU00489	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00493	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU00493	42.09	intracellular transport vesicles	PMID:15486203	IEA
NCU00493	70.03	cytoplasm	PMID:15486203	IEA
NCU00502	02.13	respiration	PMID:15486203	IEA
NCU00502	20.03.22	transport ATPases	PMID:15486203	IEA
NCU00502	34.01.01.03	homeostasis of protons	PMID:15486203	IEA
NCU00502	70.16	mitochondrion	PMID:15486203	IEA
NCU00505	11.04.03.01	splicing	PMID:15486203	IEA
NCU00505	70.10	nucleus	PMID:15486203	IEA
NCU00506	20.01.27	drug/toxin transport	PMID:15486203	IEA
NCU00517	10.03.01.03	cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle)	PMID:15486203	IEA
NCU00522	01.01.06.05	metabolism of methionine	PMID:15486203	IEA
NCU00523	10.01.09	DNA restriction or modification	PMID:15486203	IEA
NCU00523	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00536	01.01.09.03.01	biosynthesis of cysteine	PMID:15486203	IEA
NCU00548	01.03	nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU00549	01.20.37.01	metabolism of thioredoxin, glutaredoxin, glutathion	PMID:15486203	IEA
NCU00552	01.06.06.13	tetraterpenes (carotinoids) metabolism	PMID:15486203	IEA
NCU00553	30.01.05.05	G-protein mediated signal transduction	PMID:15486203	IEA
NCU00554	01.01.06.06.01	biosynthesis of lysine	PMID:15486203	IEA
NCU00556	40.01	cell growth / morphogenesis	PMID:15486203	IEA
NCU00556	43.01.03.05	budding, cell polarity and filament formation	PMID:15486203	IEA
NCU00560	10.03.01.01.03	G1/S transition of mitotic cell cycle	PMID:15486203	IEA
NCU00564	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00564	70.16	mitochondrion	PMID:15486203	IEA
NCU00565	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU00565	70.16	mitochondrion	PMID:15486203	IEA
NCU00567	01.01.03.05.01	biosynthesis of arginine	PMID:15486203	IEA
NCU00567	70.16	mitochondrion	PMID:15486203	IEA
NCU00572	32.05	disease, virulence and defense	PMID:15486203	IEA
NCU00578	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00579	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00580	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00591	01.01.11.04.02	degradation of leucine	PMID:15486203	IEA
NCU00591	16.21.15	biotin binding	PMID:15486203	IEA
NCU00593	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU00593	30.01	cellular signalling	PMID:15486203	IEA
NCU00596	01.06.05	fatty acid metabolism	PMID:15486203	IEA
NCU00596	16.13.03	fatty acid binding (e.g. acyl-carrier protein)	PMID:15486203	IEA
NCU00600	16.19.05	GTP binding	PMID:15486203	IEA
NCU00600	20.09.16	cellular export and secretion	PMID:15486203	IEA
NCU00600	30.01.05.05	G-protein mediated signal transduction	PMID:15486203	IEA
NCU00600	43.01.03.05	budding, cell polarity and filament formation	PMID:15486203	IEA
NCU00602	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU00606	01.06.05	fatty acid metabolism	PMID:15486203	IEA
NCU00608	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00609	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00609	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)	PMID:15486203	IEA
NCU00617	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00618	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00618	70.03	cytoplasm	PMID:15486203	IEA
NCU00621	18.02.01.01	enzyme activator	PMID:15486203	IEA
NCU00621	40.01	cell growth / morphogenesis	PMID:15486203	IEA
NCU00624	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU00631	10.01.05.01	DNA repair	PMID:15486203	IEA
NCU00631	70.10	nucleus	PMID:15486203	IEA
NCU00632	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU00634	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00634	70.03	cytoplasm	PMID:15486203	IEA
NCU00635	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00635	16.01	protein binding	PMID:15486203	IEA
NCU00635	16.03.01	DNA binding	PMID:15486203	IEA
NCU00636	02.13	respiration	PMID:15486203	IEA
NCU00636	02.45.15	energy generation (e.g. ATP synthase)	PMID:15486203	IEA
NCU00636	20.03.22	transport ATPases	PMID:15486203	IEA
NCU00636	34.01.01.03	homeostasis of protons	PMID:15486203	IEA
NCU00636	70.16	mitochondrion	PMID:15486203	IEA
NCU00643	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00643	70.03	cytoplasm	PMID:15486203	IEA
NCU00649	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups	PMID:15486203	IEA
NCU00651	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	PMID:15486203	IEA
NCU00651	70.03	cytoplasm	PMID:15486203	IEA
NCU00651	70.10	nucleus	PMID:15486203	IEA
NCU00655	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00658	20.09.14	cytoskeleton-dependent transport	PMID:15486203	IEA
NCU00658	42.04	cytoskeleton/structural proteins	PMID:15486203	IEA
NCU00660	01.02	nitrogen, sulfur and selenium metabolism	PMID:15486203	IEA
NCU00660	12	PROTEIN SYNTHESIS	PMID:15486203	IEA
NCU00664	11.04.03.01	splicing	PMID:15486203	IEA
NCU00668	18.02.03	guanyl-nucleotide exchange factor (GEF)	PMID:15486203	IEA
NCU00668	30.01.05.01.03	MAPKKK cascade	PMID:15486203	IEA
NCU00668	40.01.03	directional cell growth (morphogenesis)	PMID:15486203	IEA
