_id	_src_grp	_src_tag	_status	_user	name_new	name_old	symbol_new	symbol_old	synonyms_new	synonyms_old	pubMedId	term_id	term_name
CA-681	NC10_CALLGENES_FINAL_5	NCU04017	promoted	hmhood@ebs.ogi.edu	hypothetical protein	heterochromatin protein				HP1	14967149,14967149,14967149	GO:0000792,GO:0006306,GO:0040008	heterochromatin,DNA methylation,regulation of growth
CA-683	NC10_CALLGENES_FINAL_5	NCU08270	promoted	hmhood@ebs.ogi.edu	dicer-like-1	dicer-like protein 1				Sms-3	14993290,14993290,14993290	GO:0016441,GO:0030422,GO:0035194	posttranscriptional gene silencing,production of siRNA involved in RNA interference,posttranscriptional gene silencing by RNA
CA-721	NC10_CALLGENES_FINAL_5	NCU06766	promoted	hmhood@ebs.ogi.edu	dicer-like-2	dicer-like protein 2					14993290,14993290	GO:0030422,GO:0035194	production of siRNA involved in RNA interference,posttranscriptional gene silencing by RNA
CA-741	NC10_CALLGENES_FINAL_5	NCU06247	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16294304	GO:0005741	mitochondrial outer membrane
CA-743	NC10_CALLGENES_FINAL_5	NCU04380	promoted	hmhood@ebs.ogi.edu	hypothetical protein	acyl-CoA synthetase					16294304	GO:0005741	mitochondrial outer membrane
CA-744	NC7_FINAL_CALLGENES_3	NCU04380	deleted	hmhood@ebs.ogi.edu	hypothetical protein	hypothetical protein similar to Fum16p					16294304	GO:0005741	mitochondrial outer membrane
CA-745	NC10_CALLGENES_FINAL_5	NCU06403	promoted	hmhood@ebs.ogi.edu							16294304	GO:0005741	mitochondrial outer membrane
CA-746	NC10_CALLGENES_FINAL_5	NCU04245	promoted	hmhood@ebs.ogi.edu			tom70			mom72	16294304	GO:0005741	mitochondrial outer membrane
CA-747	NC10_CALLGENES_FINAL_5	NCU00905	promoted	hmhood@ebs.ogi.edu	hypothetical protein	N-acylethanolamine amidohydrolase					16294304	GO:0005741	mitochondrial outer membrane
CA-748	NC10_CALLGENES_FINAL_5	NCU08356	promoted	hmhood@ebs.ogi.edu	hypothetical protein	acetamidase					16294304	GO:0005741	mitochondrial outer membrane
CA-749	NC10_CALLGENES_FINAL_5	NCU03188	promoted	hmhood@ebs.ogi.edu	hypothetical protein	sugar 1,4-lactone oxidase					16294304	GO:0005741	mitochondrial outer membrane
CA-750	NC10_CALLGENES_FINAL_5	NCU04013	promoted	hmhood@ebs.ogi.edu	hypothetical protein	yellow-1		ylo-1			16294304	GO:0005741	mitochondrial outer membrane
CA-751	NC10_CALLGENES_FINAL_5	NCU06924	promoted	hmhood@ebs.ogi.edu	hypothetical protein	kynurenine 3-monooxygenase					16294304	GO:0005741	mitochondrial outer membrane
CA-752	NC10_CALLGENES_FINAL_5	NCU07793	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16294304	GO:0005741	mitochondrial outer membrane
CA-753	NC10_CALLGENES_FINAL_5	NCU00605	promoted	hmhood@ebs.ogi.edu	hypothetical protein	ThiF domain-containing protein					16294304	GO:0005741	mitochondrial outer membrane
CA-754	NC10_CALLGENES_FINAL_5	NCU05430	promoted	hmhood@ebs.ogi.edu	ATPase-2	ATP synthase beta subunit	atp-2				16294304	GO:0005741	mitochondrial outer membrane
CA-755	NC10_CALLGENES_FINAL_5	NCU08354	promoted	hmhood@ebs.ogi.edu							16294304	GO:0005741	mitochondrial outer membrane
CA-756	NC10_CALLGENES_FINAL_5	NCU05593	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial outer membrane beta-barrel protein Tob55					16294304	GO:0005741	mitochondrial outer membrane
CA-757	NC10_CALLGENES_FINAL_5	NCU03637	promoted	hmhood@ebs.ogi.edu		CaaX prenyl protease Ste24					16294304	GO:0005741	mitochondrial outer membrane
CA-758	NC10_CALLGENES_FINAL_5	NCU02564	promoted	hmhood@ebs.ogi.edu	hypothetical protein	cysteine synthase 2					16294304	GO:0005741	mitochondrial outer membrane
CA-759	NC10_CALLGENES_FINAL_5	NCU03158	promoted	hmhood@ebs.ogi.edu	hypothetical protein	alpha/beta hydrolase					16294304	GO:0005741	mitochondrial outer membrane
CA-760	NC10_CALLGENES_FINAL_5	NCU01179	promoted	hmhood@ebs.ogi.edu			tom40			mom38	11402060,16213519,16294304,12399467,12399467,12399467	GO:0005741,GO:0006626,GO:0045040,GO:0005742	mitochondrial outer membrane,protein targeting to mitochondrion,protein import into mitochondrial outer membrane,mitochondrial outer membrane translocase complex
CA-761	NC10_CALLGENES_FINAL_5	NCU01401	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial outer membrane protein					16294304	GO:0005741	mitochondrial outer membrane
CA-762	NC10_CALLGENES_FINAL_5	NCU07904	promoted	hmhood@ebs.ogi.edu	hypothetical protein	short chain dehydrogenase/reductase					16294304	GO:0005741	mitochondrial outer membrane
CA-763	NC10_CALLGENES_FINAL_5	NCU01550	promoted	hmhood@ebs.ogi.edu		adenylate kinase cytosolic					16294304	GO:0005741	mitochondrial outer membrane
CA-764	NC10_CALLGENES_FINAL_5	NCU04304	promoted	hmhood@ebs.ogi.edu	porin	outer mitochondrial membrane protein porin	por				16294304	GO:0005741	mitochondrial outer membrane
CA-765	NC10_CALLGENES_FINAL_5	NCU08477	promoted	hmhood@ebs.ogi.edu	ypt-like-1	small GTP-binding protein	ypt-1				16294304	GO:0005741	mitochondrial outer membrane
CA-766	NC10_CALLGENES_FINAL_5	NCU04946	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16294304	GO:0005741	mitochondrial outer membrane
CA-767	NC10_CALLGENES_FINAL_5	NCU06632	promoted	hmhood@ebs.ogi.edu			tom20			mom19	16294304	GO:0005741	mitochondrial outer membrane
CA-768	NC10_CALLGENES_FINAL_5	NCU05313	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondria fission 1 protein					16294304	GO:0005741	mitochondrial outer membrane
CA-769	NC10_CALLGENES_FINAL_5	NCU00431	promoted	hmhood@ebs.ogi.edu	translocase of outer mitochondrial membrane 22	mitochondrial import receptor subunit Tom22	tom22			mom22	16294304	GO:0005741	mitochondrial outer membrane
CA-771	NC10_CALLGENES_FINAL_5	NCU01101	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial import 1		mim1			16294304	GO:0005741	mitochondrial outer membrane
CA-772	NC10_CALLGENES_FINAL_5	NCU05772	promoted	hmhood@ebs.ogi.edu		translocase of outer mitochondrial membrane 6		tom6		mom8	16294304	GO:0005741	mitochondrial outer membrane
CA-1001	NC10_CALLGENES_FINAL_5	NCU08893	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L1					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1003	NC10_CALLGENES_FINAL_5	NCU02757	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L2					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1004	NC10_CALLGENES_FINAL_5	NCU06749	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L3					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1005	NC10_CALLGENES_FINAL_5	NCU01474	promoted	hmhood@ebs.ogi.edu		60S ribosomal protein L4					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1006	NC10_CALLGENES_FINAL_5	NCU04171	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L5					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1007	NC10_CALLGENES_FINAL_5	NCU04068	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L6					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1008	NC10_CALLGENES_FINAL_5	NCU06469	promoted	hmhood@ebs.ogi.edu	hypothetical protein	54S ribosomal protein L12					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-921	NC10_CALLGENES_FINAL_5	NCU03494	promoted	lgass@nature.berkeley.edu	hypothetical protein	partner for incompatibility with het-c							
CA-1009	NC10_CALLGENES_FINAL_5	NCU04336	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L19					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1010	NC10_CALLGENES_FINAL_5	NCU07852	promoted	hmhood@ebs.ogi.edu	hypothetical protein	ribosomal protein L13					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1011	NC10_CALLGENES_FINAL_5	NCU08552	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L14					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1012	NC10_CALLGENES_FINAL_5	NCU05714	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal subunit protein L15					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1013	NC10_CALLGENES_FINAL_5	NCU06768	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L16					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1014	NC10_CALLGENES_FINAL_5	NCU01023	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L17					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1015	NC10_CALLGENES_FINAL_5	NCU06450	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial ribosomal protein					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1016	NC10_CALLGENES_FINAL_5	NCU00977	promoted	hmhood@ebs.ogi.edu	hypothetical protein	aconitate hydratase					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1017	NC10_CALLGENES_FINAL_5	NCU05813	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial large ribosomal subunit					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1018	NC10_CALLGENES_FINAL_5	NCU08329	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial ribosomal protein subunit L23					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1019	NC10_CALLGENES_FINAL_5	NCU08861	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1020	NC10_CALLGENES_FINAL_5	NCU08410	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L24					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1063	NC10_CALLGENES_FINAL_5	NCU03516	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial ribosomal protein subunit L32					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1061	NC10_CALLGENES_FINAL_5	NCU06786	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L30					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1062	NC10_CALLGENES_FINAL_5	NCU04138	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1064	NC10_CALLGENES_FINAL_5	NCU03638	promoted	hmhood@ebs.ogi.edu	predicted protein	hypothetical protein					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1065	NC10_CALLGENES_FINAL_5	NCU06038	promoted	hmhood@ebs.ogi.edu	predicted protein	ribosomal protein L36					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1066	NC10_CALLGENES_FINAL_5	NCU05552	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1068	NC10_CALLGENES_FINAL_5	NCU08299	promoted	hmhood@ebs.ogi.edu	hypothetical protein	60S ribosomal protein L3					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1069	NC10_CALLGENES_FINAL_5	NCU01485	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1070	NC10_CALLGENES_FINAL_5	NCU07560	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal subunit L30					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1071	NC7_FINAL_CALLGENES_3	NCU08684	promoted	hmhood@ebs.ogi.edu	hypothetical protein	predicted protein					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1073	NC10_CALLGENES_FINAL_5	NCU05287	promoted	hmhood@ebs.ogi.edu	hypothetical protein	50S ribosomal protein L4					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1074	NC10_CALLGENES_FINAL_5	NCU00103	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1075	NC10_CALLGENES_FINAL_5	NCU01650	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1076	NC10_CALLGENES_FINAL_5	NCU09826	promoted	hmhood@ebs.ogi.edu	hypothetical protein	RNase III domain-containing protein					16451194,16451194,16451194	GO:0006412,GO:0005198,GO:0005762	translation,structural molecule activity,mitochondrial large ribosomal subunit
CA-1078	NC10_CALLGENES_FINAL_5	NCU03094	promoted	hmhood@ebs.ogi.edu							16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1079	NC10_CALLGENES_FINAL_5	NCU02804	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial 60S ribosomal protein L25					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1080	NC10_CALLGENES_FINAL_5	NCU05890	promoted	hmhood@ebs.ogi.edu	predicted protein	hypothetical protein					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1081	NC10_CALLGENES_FINAL_5	NCU07549	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial ribosomal protein L43					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1083	NC10_CALLGENES_FINAL_5	NCU00952	promoted	hmhood@ebs.ogi.edu	hypothetical protein	mitochondrial ribosomal protein L44					16451194,16451194,16451194	GO:0006412,GO:0003735,GO:0005762	translation,structural constituent of ribosome,mitochondrial large ribosomal subunit
CA-1085	NC7_FINAL_CALLGENES_3	NCU07732	deleted	hmhood@ebs.ogi.edu	arginine-2	arginine-specific carbamoyl-phosphate synthetase small subunit, mitochondrial precursor					2141606,2945985	GO:0006526	arginine biosynthetic process
CA-1086	NC10_CALLGENES_FINAL_5	NCU02252	promoted	hmhood@ebs.ogi.edu	conserved hypothetical protein	phosphoglycerate mutase					15531214	GO:0042149	cellular response to glucose starvation
CA-1087	NC10_CALLGENES_FINAL_5	NCU06075	promoted	hmhood@ebs.ogi.edu							15531214	GO:0042149	cellular response to glucose starvation
CA-1089	NC10_CALLGENES_FINAL_5	NCU00959	promoted	hmhood@ebs.ogi.edu	hypothetical protein	succinate dehydrogenase iron-sulfur protein					15531214	GO:0042149	cellular response to glucose starvation
CA-1090	NC10_CALLGENES_FINAL_5	NCU06211	promoted	hmhood@ebs.ogi.edu	conserved hypothetical protein	malate dehydrogenase					15531214	GO:0042149	cellular response to glucose starvation
CA-1091	NC10_CALLGENES_FINAL_5	NCU02482	promoted	hmhood@ebs.ogi.edu	conserved hypothetical protein	2-methylcitrate synthase					15531214	GO:0042149	cellular response to glucose starvation
CA-1092	NC10_CALLGENES_FINAL_5	NCU08828	promoted	hmhood@ebs.ogi.edu	hypothetical protein	peroxisomal hydratase-dehydrogenase-epimerase	fox-2				15531214	GO:0042149	cellular response to glucose starvation
CA-1095	NC10_CALLGENES_FINAL_5	NCU02571	promoted	hmhood@ebs.ogi.edu	hypothetical protein	acetyl-CoA acetyltransferase					15531214	GO:0042149	cellular response to glucose starvation
CA-1096	NC10_CALLGENES_FINAL_5	NCU03608	promoted	hmhood@ebs.ogi.edu	ketol-acid reductoisomerase, mitochondrial precursor	ketol-acid reductoisomerase	ilv-2			iv-2	15531214	GO:0042149	cellular response to glucose starvation
CA-1097	NC10_CALLGENES_FINAL_5	NCU02639	promoted	hmhood@ebs.ogi.edu	conserved hypothetical protein	argininosuccinate synthase					15531214	GO:0042149	cellular response to glucose starvation
CA-1098	NC10_CALLGENES_FINAL_5	NCU01757	promoted	hmhood@ebs.ogi.edu	hypothetical protein	asparaginase					15531214	GO:0042149	cellular response to glucose starvation
CA-1100	NC10_CALLGENES_FINAL_5	NCU01517	promoted	hmhood@ebs.ogi.edu	hypothetical protein	glucoamylase precursor	gla-1				15531214	GO:0042149	cellular response to glucose starvation
CA-1101	NC10_CALLGENES_FINAL_5	NCU01754	promoted	hmhood@ebs.ogi.edu	hypothetical protein	alcohol dehydrogenase I					15531214	GO:0042149	cellular response to glucose starvation
CA-1102	NC10_CALLGENES_FINAL_5	NCU09266	promoted	hmhood@ebs.ogi.edu	conserved hypothetical protein	methylmalonate-semialdehyde dehydrogenase					15531214	GO:0042149	cellular response to glucose starvation
CA-1103	NC10_CALLGENES_FINAL_5	NCU03753	promoted	hmhood@ebs.ogi.edu	predicted protein	clock controlled protein CCG-1	ccg-1		grg-1		15531214	GO:0042149	cellular response to glucose starvation
CA-1105	NC10_CALLGENES_FINAL_5	NCU02470	promoted	hmhood@ebs.ogi.edu							15531214	GO:0042149	cellular response to glucose starvation
CA-1110	NC7_FINAL_CALLGENES_3	NCU00420	deleted	mhenn@broadinstitute.org	test protein	conserved hypothetical protein	test-1		test-3		16554068,16554078,16554079	GO:0000075,FAO:0001010	cell cycle checkpoint,aseptate hypha
CA-1208	NC10_CALLGENES_FINAL_5	NCU05790	promoted		phytochrome-2	phytochrome-like histidine kinase 2					16339731	GO:0009585	red, far-red light phototransduction
CA-1226	NC7_FINAL_CALLGENES_3	NCU00001	deleted	koehrsen@broad.mit.edu	test annotation protein	predicted protein			testing		16604559	GO:0040007	growth
CA-1232	NC10_CALLGENES_FINAL_5	NCU01207	promoted	bowman@biology.ucsc.edu			vma-1				2971651	GO:0000324	fungal-type vacuole
CA-1233	NC10_CALLGENES_FINAL_5	NCU01207	promoted	bowman@biology.ucsc.edu	hypothetical protein similar to V-type H+-ATPase subunit A	vacuolar membrane ATPase-1	vma-1				10617601		
CA-1234	NC10_CALLGENES_FINAL_5	NCU01207	promoted	bowman@biology.ucsc.edu	hypothetical protein similar to V-type H+-ATPase subunit A	vacuolar membrane ATPase-1	vma-1					GO:0016471	vacuolar proton-transporting V-type ATPase complex
CA-1235	NC10_CALLGENES_FINAL_5	NCU08515	promoted	bowman@biology.ucsc.edu			vma-2				2844751	GO:0000324	fungal-type vacuole
CA-1245	NC10_CALLGENES_FINAL_5	NCU00902	promoted	Hildur.Colot@Dartmouth.edu			wc-2						
CA-1247	NC10_CALLGENES_FINAL_5	NCU02582	promoted	d-ebbole@tamu.edu	hypothetical protein	sorbose-resistant-4	sor-4		Ph-mod-D,ami,dgr-3,gla-2,sor(DS),sor(T9),sorr-15	Ph-mod-D	9178001		
CA-1248	NC10_CALLGENES_FINAL_5	NCU02582	promoted	d-ebbole@tamu.edu	hypothetical protein	sorbose-resistant-4	sor-4		Ph-mod-D,ami,dgr-3,gla-2,rco-3,sor(DS),sor(T9),sorr-15	Ph-mod-D	2521617		
CA-1266	NC10_CALLGENES_FINAL_5	NCU02677	promoted	hmhood@ebs.ogi.edu						cit-l	2945985	GO:0006526	arginine biosynthetic process
CA-1287	NC10_CALLGENES_FINAL_5	NCU00077	promoted	a.radford@leeds.ac.uk							15299145		
CA-1318	NC10_CALLGENES_FINAL_5	NCU07681	promoted	bowman@biology.ucsc.edu			vma-9						
CA-1319	NC10_CALLGENES_FINAL_5	NCU07681	promoted	bowman@biology.ucsc.edu	hypothetical protein	vacuolar ATPase subunit e						GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
CA-1324	NC10_CALLGENES_FINAL_5	NCU10021	promoted	d-ebbole@tamu.edu	high affinity glucose transporter	MFS monosaccharide transporter					15531214		
CA-1326	NC10_CALLGENES_FINAL_5	NCU02582	promoted	d-ebbole@tamu.edu			sor-4		Ph-mod-D,ami,dgr-3,gla-2,sor(DS),sor(T9),sorr-15	Ph-mod-D			
CA-1353	NC10_CALLGENES_FINAL_5	NCU03727	promoted	cgrasmus@uclink.berkeley.edu		hyphal anastamosis-2					11805054		
CA-1368	NC10_CALLGENES_FINAL_5	NCU03727	promoted	cgrasmus@uclink.berkeley.edu									
CA-1450	NC10_CALLGENES_FINAL_5	NCU05457	promoted	hmhood@ebs.ogi.edu			cya-4		cox-5		2540423,2540423,2540423	GO:0009060,GO:0004129,GO:0005743	aerobic respiration,cytochrome-c oxidase activity,mitochondrial inner membrane
CA-1475	NC10_CALLGENES_FINAL_5	NCU02814	promoted	Christopher.L.Baker@Dartmouth.edu							16662086,16809488	GO:0000077	DNA damage checkpoint
CA-1488	NC10_CALLGENES_FINAL_5	NCU03305	promoted	hmhood@ebs.ogi.edu	calcium P-type ATPase-1	calcium P-type ATPase-1					15288019,10712689	GO:0005388	calcium-transporting ATPase activity
CA-1489	NC7_FINAL_CALLGENES_3	NCU05154	deleted	hmhood@ebs.ogi.edu	calcium P-type ATPase-2	hypothetical protein similar to P-type calcium ATPase	nca-2	nca-3			10712689,15288019		
CA-1490	NC10_CALLGENES_FINAL_5	NCU05154	promoted	hmhood@ebs.ogi.edu							15288019,10712689	GO:0005388	calcium-transporting ATPase activity
